,CurrentClinicName1,CurrentClinicCity,CurrentClinicState,Year,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,Donor_TransLB2,Donor_TransLB3,ReasonTubal,ReasonOvul,ReasonDOR,ReasonEndo,ReasonUterine,ReasonMale,ReasonOtherInfert,TransPGT1,TransPGT2,TransPGT3,TransPGT4
183,"MIDWEST REPRODUCTIVE CENTER, PA",OLATHE,KANSAS,2017,106,42,32,10,61.3%,47.6%,18.8%,0 / 10,3.2%,4.5%,8.2%,4.0%,,8 / 14,19%,28%,17%,7%,4%,47%,15%,50.3%,66.7%,56.5%,10 / 14
184,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE,OVERLAND PARK,KANSAS,2017,156,50,48,14,60.3%,42.0%,22.9%,5 / 14,11.2%,16.4%,13.3%,21.9%,3 / 8,52.2%,11%,12%,20%,7%,1%,42%,14%,21.9%,34.5%,53.2%,9 / 16
185,REPRODUCTIVE RESOURCE CENTER OF GREATER KANSAS CITY,OVERLAND PARK,KANSAS,2017,133,39,18,2,61.7%,28.2%,5 / 18,0 / 2,2.9%,3.7%,7.1%,1 / 7,60.0%,7 / 10,5%,35%,29%,8%,1%,23%,17%,26.1%,22.4%,26.9%,1 / 5
186,THE CENTER FOR REPRODUCTIVE MEDICINE,WICHITA,KANSAS,2017,82,17,13,3,52.4%,5 / 17,3 / 13,2 / 3,13.8%,15.4%,2 / 14,0 / 1,3 / 9,0 / 1,22%,18%,28%,18%,5%,45%,5%,12.3%,13.6%,1 / 8,0 / 1
187,BLUEGRASS FERTILITY CENTER,LEXINGTON,KENTUCKY,2017,75,29,17,10,45.3%,24.1%,5 / 17,1 / 10,7.5%,5.4%,0.0%,3 / 11,,3 / 7,21%,24%,13%,14%,1%,60%,1%,0.0%,2.9%,26.1%,0 / 8
188,THE LEXINGTON FERTILITY CENTER,LEXINGTON,KENTUCKY,2017,13,3,3,1,8 / 13,1 / 3,0 / 3,0 / 1,0 / 17,0 / 6,0 / 13,0 / 2,,2 / 6,5%,18%,53%,5%,5%,61%,0%,4 / 16,0 / 4,5 / 10,0 / 2
189,FERTILITY AND ENDOCRINE ASSOCIATES,LOUISVILLE,KENTUCKY,2017,60,21,19,5,41.7%,28.6%,2 / 19,1 / 5,3.9%,6.5%,0 / 17,0 / 1,,32.0%,9%,14%,34%,21%,0%,53%,12%,38.2%,32.4%,4 / 12,0 / 1
190,"KENTUCKY FERTILITY INSTITUTE, LLC",LOUISVILLE,KENTUCKY,2017,31,2,2,2,54.8%,0 / 2,0 / 2,0 / 2,8.2%,7.6%,5.1%,1 / 6,2 / 2,2 / 3,8%,18%,17%,9%,<1%,34%,2%,59.1%,40.6%,35.0%,0 / 2
191,"FERTILITY ANSWERS, LLC-BATON ROUGE",BATON ROUGE,LOUISIANA,2017,48,22,5,3,41.7%,22.7%,0 / 5,1 / 3,5.7%,0.0%,14.3%,,0 / 3,,13%,13%,21%,9%,1%,38%,21%,17.3%,3 / 17,1 / 6,
192,"FERTILITY ANSWERS, LLC-LAFAYETTE",LAFAYETTE,LOUISIANA,2017,92,20,9,2,44.6%,55.0%,1 / 9,0 / 2,7.5%,11.3%,3 / 14,1 / 5,2 / 2,2 / 4,20%,12%,23%,9%,1%,29%,4%,9.4%,11.8%,3 / 8,0 / 1
193,FERTILITY INSTITUTE OF NEW ORLEANS,MANDEVILLE,LOUISIANA,2017,203,118,72,22,44.3%,26.3%,20.8%,9.1%,10.5%,15.1%,11.7%,7.5%,7 / 11,3 / 10,14%,30%,17%,10%,1%,42%,36%,24.2%,23.6%,37.9%,5 / 16
194,AUDUBON FERTILITY,NEW ORLEANS,LOUISIANA,2017,106,29,53,7,63.2%,31.0%,17.0%,1 / 7,7.5%,3.2%,14.1%,1 / 18,,10 / 17,8%,18%,12%,9%,3%,29%,36%,32.0%,44.4%,58.8%,3 / 6
195,ARKLATEX FERTILITY AND REPRODUCTIVE MEDICINE,SHREVEPORT,LOUISIANA,2017,67,24,15,5,38.8%,33.3%,5 / 15,1 / 5,7.5%,12.9%,1 / 16,1 / 8,,2 / 2,27%,13%,16%,18%,1%,30%,9%,1.3%,3.7%,1 / 14,1 / 7
196,"BOSTON IVF, LLC THE MAINE CENTER",SOUTH PORTLAND,MAINE,2017,101,54,43,33,60.4%,51.9%,18.6%,3.0%,4.5%,1.9%,1.6%,21.1%,,7 / 16,10%,6%,12%,7%,2%,33%,36%,13.5%,16.9%,21.6%,20.8%
197,"THE A.R.T. INSTITUTE OF WASHINGTON, INC.",BETHESDA,MARYLAND,2017,194,60,82,28,54.6%,38.3%,34.1%,28.6%,2.5%,3.5%,3.6%,6.1%,,,21%,10%,7%,7%,6%,43%,4%,4.4%,0.0%,5.8%,7.5%
198,"ENDRIKA HINTON, MD",LUTHERVILLE,MARYLAND,2017,6,10,3,0,2 / 6,1 / 10,1 / 3,,0 / 18,0 / 15,2 / 12,0 / 4,,,8%,56%,23%,56%,13%,27%,13%,4 / 12,2 / 9,1 / 6,2 / 2
199,JOHNS HOPKINS FERTILITY CENTER,LUTHERVILLE,MARYLAND,2017,141,104,111,59,24.1%,19.2%,12.6%,8.5%,3.9%,10.8%,8.9%,8.8%,2 / 4,2 / 9,14%,14%,20%,8%,10%,18%,15%,14.7%,16.2%,20.5%,4.3%
200,MONTGOMERY FERTILITY CENTER,ROCKVILLE,MARYLAND,2017,15,16,10,7,5 / 15,1 / 16,2 / 10,0 / 7,6.5%,0.0%,0 / 19,0 / 10,0 / 1,0 / 10,17%,12%,19%,3%,22%,25%,0%,0 / 19,0 / 17,0 / 13,0 / 8
201,SHADY GROVE FERTILITY-ROCKVILLE,ROCKVILLE,MARYLAND,2017,"1,546",983,"1,054",569,56.7%,43.3%,28.1%,16.2%,4.5%,7.1%,9.2%,11.4%,46.7%,38.4%,9%,10%,26%,3%,4%,22%,37%,20.6%,28.4%,33.2%,31.6%
202,FERTILITY CENTER OF MARYLAND,TOWSON,MARYLAND,2017,95,46,66,22,34.7%,43.5%,21.2%,13.6%,6.8%,9.2%,20.6%,42.3%,,,19%,22%,25%,7%,8%,29%,19%,0.0%,0.0%,0.0%,0 / 12
203,SHADY GROVE FERTILITY-TOWSON,TOWSON,MARYLAND,2017,567,265,261,91,51.5%,40.0%,21.1%,9.9%,5.0%,5.7%,7.2%,11.4%,7 / 14,38.5%,12%,14%,22%,6%,3%,31%,34%,14.6%,15.8%,22.1%,21.6%
204,BRIGHAM AND WOMEN'S HOSPITAL CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,BOSTON,MASSACHUSETTS,2017,420,272,294,140,52.1%,46.7%,30.3%,15.0%,5.1%,7.5%,5.7%,6.5%,,46.0%,8%,11%,33%,7%,4%,28%,23%,8.6%,7.3%,9.7%,4.8%
205,MASSACHUSETTS GENERAL HOSPITAL FERTILITY CENTER,BOSTON,MASSACHUSETTS,2017,282,152,147,59,59.9%,43.4%,32.7%,10.2%,3.0%,6.5%,5.9%,4.4%,0 / 1,24.1%,12%,12%,27%,6%,4%,40%,9%,2.8%,4.8%,3.3%,0.0%
206,"FERTILITY SOLUTIONS, PC",DEDHAM,MASSACHUSETTS,2017,129,104,88,62,58.1%,37.5%,20.5%,8.1%,5.0%,8.3%,7.4%,10.3%,4 / 14,31.8%,9%,7%,19%,5%,2%,29%,6%,3.5%,12.8%,9.2%,13.3%
207,IVF NEW ENGLAND,LEXINGTON,MASSACHUSETTS,2017,737,441,314,180,56.7%,46.0%,32.8%,14.4%,3.7%,5.5%,7.6%,7.4%,52.9%,47.2%,14%,14%,24%,6%,4%,37%,43%,24.0%,28.6%,35.9%,21.0%
208,CCRM BOSTON,NEWTON,MASSACHUSETTS,2017,0,0,0,0,,,,,1 / 13,0 / 4,1 / 10,1 / 7,0 / 1,0 / 3,2%,2%,37%,2%,0%,7%,2%,5 / 7,,2 / 3,0 / 1
209,"FERTILITY CENTERS OF NEW ENGLAND, INC.",READING,MASSACHUSETTS,2017,409,171,179,59,49.6%,36.3%,30.7%,20.3%,1.8%,1.4%,2.9%,5.2%,8 / 11,45.2%,7%,12%,30%,6%,3%,32%,14%,9.6%,11.8%,21.6%,19.0%
210,BAYSTATE REPRODUCTIVE MEDICINE,SPRINGFIELD,MASSACHUSETTS,2017,136,64,67,27,54.4%,57.8%,32.8%,25.9%,7.9%,13.9%,11.0%,8.9%,3 / 5,6 / 11,11%,25%,19%,8%,4%,30%,16%,6.9%,2.9%,4.8%,4 / 17
211,"CARDONE REPRODUCTIVE MEDICINE AND INFERTILITY, LLC",STONEHAM,MASSACHUSETTS,2017,46,36,50,27,45.7%,36.1%,18.0%,22.2%,4.4%,6.5%,8.1%,10.3%,,7 / 16,11%,20%,17%,5%,6%,21%,40%,17.3%,15.5%,19.0%,17.4%
212,"BOSTON IVF, LLC",WALTHAM,MASSACHUSETTS,2017,616,422,479,249,53.1%,35.5%,22.3%,10.8%,5.9%,7.0%,6.9%,9.0%,41.7%,42.3%,7%,12%,22%,3%,2%,24%,40%,17.8%,23.1%,25.8%,22.2%
213,UNIVERSITY OF MICHIGAN CENTER FOR REPRODUCTIVE MEDICINE,ANN ARBOR,MICHIGAN,2017,177,74,60,34,41.8%,28.4%,16.7%,2.9%,7.0%,6.2%,12.7%,10.2%,4 / 16,1 / 10,13%,24%,32%,10%,9%,38%,17%,31.5%,47.4%,69.2%,9 / 15
214,"ADVANCED REPRODUCTIVE MEDICINE AND SURGERY, PC",BLOOMFIELD HILLS,MICHIGAN,2017,33,19,15,5,54.5%,6 / 19,2 / 15,0 / 5,8.3%,0.0%,21.2%,2 / 9,,3 / 11,10%,13%,27%,22%,9%,23%,18%,7.7%,3 / 18,27.3%,1 / 5
215,IVF MICHIGAN FERTILITY CENTERS,BLOOMFIELD HILLS,MICHIGAN,2017,378,158,97,27,57.4%,38.6%,28.9%,3.7%,3.2%,4.5%,2.9%,7.9%,1 / 1,54.3%,9%,17%,23%,5%,3%,48%,14%,26.9%,42.7%,40.4%,40.0%
216,MICHIGAN REPRODUCTIVE MEDICINE,BLOOMFIELD HILLS,MICHIGAN,2017,42,23,27,24,47.6%,30.4%,18.5%,4.2%,5.9%,12.1%,14.3%,17.4%,50.0%,3 / 16,6%,13%,42%,3%,2%,23%,1%,32.8%,20.0%,34.5%,3 / 11
217,GAGO IVF,BRIGHTON,MICHIGAN,2017,41,18,21,6,43.9%,6 / 18,23.8%,2 / 6,0.0%,2.5%,6.5%,1 / 14,0 / 1,7 / 11,13%,22%,28%,9%,5%,40%,23%,68.3%,15 / 18,10 / 12,3 / 4
218,"MICHIGAN REPRODUCTIVE & IVF CENTER, PC",GRAND RAPIDS,MICHIGAN,2017,321,118,94,45,56.4%,38.1%,21.3%,8.9%,7.6%,9.3%,13.1%,6.0%,3 / 5,42.9%,16%,13%,26%,14%,3%,44%,9%,2.0%,0.0%,2.0%,0.0%
219,"IVF MICHIGAN ROCHESTER HILLS & FLINT, PC",ROCHESTER HILLS,MICHIGAN,2017,134,54,70,17,53.0%,50.0%,22.9%,1 / 17,11.8%,8.2%,21.9%,8.3%,,,19%,17%,27%,23%,27%,48%,4%,4.4%,3.2%,13.6%,0 / 18
220,WAYNE STATE UNIVERSITY PHYSICIAN GROUP,SOUTHFIELD,MICHIGAN,2017,23,13,6,2,43.5%,8 / 13,1 / 6,0 / 2,8.0%,2 / 18,4 / 10,0 / 2,1 / 1,0 / 1,33%,19%,10%,10%,12%,33%,19%,4.3%,0 / 13,0 / 6,0 / 1
221,HENRY FORD REPRODUCTIVE MEDICINE,TROY,MICHIGAN,2017,31,9,10,2,58.1%,6 / 9,2 / 10,0 / 2,8.1%,2 / 16,4.8%,0 / 2,0 / 1,0 / 1,17%,10%,20%,4%,6%,29%,21%,0.0%,0 / 10,3 / 11,1 / 1
222,REPRODUCTIVE MEDICINE ASSOCIATES OF MICHIGAN,TROY,MICHIGAN,2017,126,68,61,24,57.9%,44.1%,23.0%,16.7%,6.2%,4.5%,8.8%,11.8%,3 / 7,55.6%,12%,12%,18%,12%,9%,46%,40%,22.7%,46.6%,35.3%,21.1%
223,"MICHIGAN CENTER FOR FERTILITY AND WOMEN'S HEALTH, PLC",WARREN,MICHIGAN,2017,71,28,23,10,62.0%,46.4%,30.4%,3 / 10,8.0%,11.6%,14.0%,23.3%,1 / 1,55.0%,9%,18%,30%,3%,1%,32%,4%,38.3%,42.9%,65.4%,6 / 6
224,CCRM MINNEAPOLIS,EDINA,MINNESOTA,2017,94,52,60,30,61.7%,44.2%,23.3%,6.7%,2.2%,4.4%,3.3%,8.5%,0 / 1,72.2%,7%,11%,22%,4%,2%,23%,49%,65.1%,83.1%,89.6%,12 / 16
225,"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, PA",MAPLE GROVE,MINNESOTA,2017,92,34,18,3,60.9%,47.1%,7 / 18,1 / 3,3.8%,2.0%,4.5%,0 / 11,,6 / 15,8%,78%,3%,7%,2%,20%,1%,0.8%,0.0%,0.0%,0 / 11
226,CENTER FOR REPRODUCTIVE MEDICINE,MINNEAPOLIS,MINNESOTA,2017,395,163,140,65,64.3%,44.8%,26.4%,13.8%,5.5%,5.8%,8.6%,9.3%,8 / 14,54.8%,10%,16%,20%,8%,4%,26%,14%,17.1%,26.4%,33.7%,23.9%
227,MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,ROCHESTER,MINNESOTA,2017,140,55,43,12,51.4%,29.1%,30.2%,2 / 12,4.5%,5.9%,15.5%,2.8%,7 / 16,7 / 13,9%,20%,16%,6%,4%,19%,29%,10.9%,21.4%,26.5%,25.9%
228,REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,WOODBURY,MINNESOTA,2017,273,102,57,27,53.5%,42.2%,29.8%,7.4%,1.7%,3.0%,7.1%,4.4%,42.9%,38.6%,13%,23%,16%,8%,2%,44%,17%,9.6%,8.7%,10.5%,2.9%
229,"MISSISSIPPI REPRODUCTIVE MEDICINE, PLLC",FLOWOOD,MISSISSIPPI,2017,58,30,7,7,50.0%,20.0%,3 / 7,0 / 7,6.5%,13.7%,9.5%,0 / 10,,4 / 9,17%,17%,5%,28%,13%,19%,27%,87.2%,76.2%,6 / 7,6 / 6
230,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,FLOWOOD,MISSISSIPPI,2017,55,27,16,2,47.3%,33.3%,2 / 16,0 / 2,2.0%,0.0%,11.1%,0 / 14,,7 / 14,36%,20%,22%,13%,16%,33%,6%,5.1%,5.9%,4.5%,0 / 9
231,INFERTILITY CENTER OF ST. LOUIS,CHESTERFIELD,MISSOURI,2017,182,71,95,66,35.2%,25.4%,9.5%,3.0%,7.5%,4.0%,9.9%,13.7%,0 / 2,29.2%,9%,12%,59%,2%,14%,27%,3%,1.2%,5.1%,0.0%,0.0%
232,MISSOURI CENTER FOR REPRODUCTIVE MEDICINE,CHESTERFIELD,MISSOURI,2017,226,86,74,53,48.7%,31.4%,18.9%,5.7%,3.0%,1.7%,7.5%,5.1%,3 / 6,47.2%,3%,33%,27%,8%,5%,47%,13%,75.8%,67.0%,57.1%,65.2%
233,"MID-MISSOURI REPRODUCTIVE MEDICINE AND SURGERY, INC.",COLUMBIA,MISSOURI,2017,54,21,18,5,55.6%,23.8%,9 / 18,2 / 5,7.1%,4.4%,5 / 19,0 / 12,,2 / 6,19%,26%,21%,22%,4%,48%,5%,34.6%,24.2%,5 / 9,3 / 7
234,BLUE SKY FERTILITY,KANSAS CITY,MISSOURI,2017,0,0,0,0,,,,,6.1%,0.0%,1 / 12,0 / 3,,4 / 6,6%,7%,49%,5%,4%,21%,6%,18 / 18,8 / 8,3 / 3,1 / 1
235,MIDWEST WOMEN'S HEALTHCARE SPECIALISTS,KANSAS CITY,MISSOURI,2017,50,19,8,0,46.0%,7 / 19,2 / 8,,6.8%,12.0%,23.8%,0 / 1,5 / 13,2 / 3,33%,25%,42%,29%,5%,39%,14%,5.1%,4 / 16,2 / 12,
236,FERTILITY PARTNERSHIP,SAINT PETERS,MISSOURI,2017,48,21,14,7,47.9%,52.4%,2 / 14,1 / 7,4.8%,0.0%,5.4%,4.3%,0 / 1,1 / 4,14%,12%,15%,12%,4%,25%,1%,4.2%,0.0%,13.0%,0 / 15
237,CENTER FOR REPRODUCTIVE MEDICINE & ROBOTIC SURGERY,ST. LOUIS,MISSOURI,2017,28,14,4,4,42.9%,2 / 14,1 / 4,0 / 4,0.0%,1 / 18,0 / 4,0 / 4,3 / 5,,13%,22%,14%,35%,11%,29%,29%,4.5%,2 / 10,1 / 3,0 / 1
238,FERTILITY AND REPRODUCTIVE MEDICINE CENTER,ST. LOUIS,MISSOURI,2017,265,133,74,35,52.1%,35.3%,33.8%,17.1%,3.6%,11.9%,6.4%,12.8%,33.3%,48.1%,15%,25%,14%,11%,1%,31%,14%,2.1%,5.4%,11.5%,10.7%
239,SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-ST. LOUIS,ST. LOUIS,MISSOURI,2017,161,62,50,21,52.8%,37.1%,14.0%,19.0%,7.3%,6.0%,8.7%,8.3%,1 / 1,30.4%,8%,27%,32%,5%,1%,16%,31%,11.5%,33.8%,40.0%,4 / 11
240,BILLINGS CLINIC,BILLINGS,MONTANA,2017,74,24,17,5,68.9%,62.5%,4 / 17,1 / 5,6.1%,10.5%,7.0%,0 / 11,3 / 7,0 / 6,19%,22%,18%,12%,1%,28%,19%,8.2%,12.5%,16.7%,3 / 6
241,REPRODUCTIVE HEALTH SPECIALISTS,ELKHORN,NEBRASKA,2017,174,58,33,14,60.9%,32.8%,30.3%,3 / 14,6.8%,15.2%,15.7%,34.4%,,41.7%,19%,20%,10%,10%,3%,35%,25%,39.0%,51.4%,50.0%,4 / 13
242,"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, PC",OMAHA,NEBRASKA,2017,149,42,25,7,55.7%,38.1%,4.0%,1 / 7,12.3%,7.5%,15.1%,2 / 13,,50.0%,12%,15%,22%,8%,3%,43%,3%,6.0%,22.0%,2 / 19,0 / 4
243,GREEN VALLEY FERTILITY PARTNERS,HENDERSON,NEVADA,2017,80,23,38,12,47.5%,26.1%,28.9%,2 / 12,4.5%,5.9%,10.8%,6.9%,,3 / 8,20%,12%,35%,6%,2%,18%,3%,15.5%,12.2%,45.9%,5 / 13
244,FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,NEVADA,2017,145,72,69,30,61.4%,41.7%,26.1%,16.7%,5.7%,8.7%,6.7%,19.2%,0 / 2,65.0%,7%,4%,47%,1%,1%,18%,11%,26.3%,46.7%,44.3%,68.0%
245,RED ROCK FERTILITY CENTER,LAS VEGAS,NEVADA,2017,64,44,23,18,59.4%,27.3%,26.1%,2 / 18,0.0%,2.0%,6.5%,3.3%,,50.0%,12%,6%,24%,1%,2%,17%,23%,75.0%,96.3%,83.3%,11 / 11
246,SHER INSTITUTE FOR REPRODUCTIVE MEDICINE-LAS VEGAS,LAS VEGAS,NEVADA,2017,126,66,39,30,25.4%,24.2%,2.6%,6.7%,1.2%,4.5%,3.2%,8.5%,,30.8%,8%,13%,31%,10%,2%,23%,67%,36.4%,43.6%,59.3%,4 / 12
247,THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,RENO,NEVADA,2017,92,29,42,22,58.7%,44.8%,26.2%,9.1%,2.9%,4.5%,5.0%,5.9%,0 / 2,54.8%,18%,22%,42%,8%,13%,24%,47%,59.6%,75.0%,62.1%,12 / 18
248,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW JERSEY,BASKING RIDGE,NEW JERSEY,2017,"1,197",731,679,315,65.2%,47.3%,31.5%,14.9%,4.0%,5.4%,5.7%,8.2%,1 / 1,54.0%,10%,16%,39%,6%,10%,68%,20%,67.2%,77.5%,80.2%,74.8%
249,CLIFTON LOW COST IVF,CLIFTON,NEW JERSEY,2017,18,7,9,5,13 / 18,2 / 7,1 / 9,0 / 5,1 / 11,1 / 6,0 / 6,,1 / 1,,24%,0%,12%,0%,0%,12%,0%,2 / 8,0 / 5,2 / 5,
250,NJ BEST OB/GYN,CLIFTON,NEW JERSEY,2017,4,4,2,1,3 / 4,1 / 4,1 / 2,0 / 1,0 / 12,0 / 1,1 / 4,0 / 1,,,5%,0%,21%,11%,0%,0%,0%,3 / 9,0 / 1,1 / 3,0 / 1
251,REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY,EATONTOWN,NEW JERSEY,2017,99,40,39,17,47.5%,42.5%,15.4%,2 / 17,2.8%,6.1%,6.2%,0.0%,8 / 16,7 / 12,13%,30%,42%,10%,2%,50%,5%,12.6%,14.9%,10.3%,4 / 18
252,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,EDISON,NEW JERSEY,2017,105,51,42,24,47.6%,41.2%,14.3%,16.7%,8.6%,4.7%,9.2%,17.9%,1 / 3,8 / 10,10%,28%,32%,4%,1%,38%,4%,45.8%,38.8%,39.0%,6 / 14
253,WOMEN'S FERTILITY CENTER,ENGLEWOOD,NEW JERSEY,2017,19,11,10,14,3 / 19,7 / 11,2 / 10,1 / 14,0.0%,0 / 14,0 / 13,1 / 5,,,31%,2%,30%,3%,0%,38%,2%,3 / 18,1 / 12,0 / 12,0 / 4
254,NORTH HUDSON IVF,ENGLEWOOD CLIFFS,NEW JERSEY,2017,4,1,1,1,1 / 4,1 / 1,0 / 1,0 / 1,0 / 6,0 / 5,0 / 4,0 / 1,,2 / 4,0%,0%,38%,8%,4%,0%,46%,3 / 3,1 / 2,1 / 2,
255,"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",HASBROUCK HEIGHTS,NEW JERSEY,2017,137,70,91,69,37.2%,32.9%,12.1%,5.8%,1.1%,3.7%,1.6%,3.2%,2 / 4,38.5%,13%,11%,32%,3%,7%,40%,6%,51.9%,37.7%,52.5%,53.8%
256,SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE DBA,LAKEWOOD,NEW JERSEY,2017,45,30,24,8,37.8%,26.7%,12.5%,0 / 8,8.8%,13.2%,9.6%,5 / 15,0 / 1,0 / 5,13%,27%,10%,3%,3%,14%,10%,14.5%,6.1%,48.1%,0 / 6
257,"DELAWARE VALLEY OBGYN & INFERTILITY GROUP, PC",LAWRENCEVILLE,NEW JERSEY,2017,33,21,15,5,36.4%,28.6%,5 / 15,1 / 5,2.8%,3.6%,2 / 18,1 / 9,,3 / 6,23%,19%,31%,5%,6%,39%,7%,0.0%,4.5%,0 / 5,0 / 5
258,INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,LIVINGSTON,NEW JERSEY,2017,302,182,221,112,50.0%,38.5%,24.4%,10.7%,3.4%,5.7%,10.9%,10.5%,8 / 17,51.5%,12%,25%,40%,5%,7%,23%,4%,34.4%,37.1%,34.8%,37.0%
259,DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,MARLTON,NEW JERSEY,2017,36,23,28,4,50.0%,39.1%,21.4%,1 / 4,8.2%,7.0%,4 / 15,1 / 9,,3 / 5,28%,44%,5%,1%,3%,34%,18%,11.9%,17.6%,1 / 10,1 / 6
260,SOUTH JERSEY FERTILITY CENTER,MARLTON,NEW JERSEY,2017,176,84,59,26,47.2%,40.5%,35.6%,11.5%,3.2%,7.2%,4.5%,14.8%,3 / 6,7 / 17,18%,24%,24%,10%,10%,29%,32%,25.0%,33.8%,25.9%,19.0%
261,DIAMOND INSTITUTE FOR INFERTILITY AND MENOPAUSE,MILLBURN,NEW JERSEY,2017,99,47,41,12,48.5%,38.3%,36.6%,2 / 12,6.1%,5.0%,17.3%,13.6%,,34.3%,21%,17%,56%,6%,13%,38%,<1%,40.0%,27.8%,43.4%,3 / 17
262,"COOPER INSTITUTE FOR REPRODUCTIVE HORMONAL DISORDERS, PC",MOUNT LAUREL,NEW JERSEY,2017,120,74,95,65,41.7%,23.0%,23.2%,6.2%,9.6%,17.1%,18.6%,25.6%,4 / 9,38.7%,17%,6%,51%,3%,3%,31%,10%,7.9%,9.1%,4.1%,7.1%
263,FERTILITY INSTITUTE OF NEW JERSEY AND NEW YORK,ORADELL,NEW JERSEY,2017,68,42,55,33,61.8%,40.5%,38.2%,6.1%,6.3%,2.7%,8.7%,8.3%,0 / 1,68.2%,20%,58%,63%,9%,38%,43%,24%,47.9%,53.3%,66.7%,60.0%
264,VALLEY HOSPITAL FERTILITY CENTER,PARAMUS,NEW JERSEY,2017,82,69,59,20,46.3%,27.5%,11.9%,10.0%,6.4%,3.7%,12.9%,8.8%,2 / 4,0 / 2,17%,13%,29%,7%,7%,31%,10%,52.9%,47.6%,43.9%,27.3%
265,DAMIEN FERTILITY PARTNERS,SHREWSBURY,NEW JERSEY,2017,105,47,65,23,65.7%,42.6%,21.5%,17.4%,4.0%,1.7%,5.0%,3.8%,56.0%,8 / 17,13%,12%,29%,20%,4%,33%,37%,27.4%,29.2%,30.9%,25.0%
266,CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,VOORHEES,NEW JERSEY,2017,47,28,16,14,42.6%,53.6%,7 / 16,0 / 14,2.3%,1.9%,7.4%,3 / 13,,1 / 6,5%,17%,20%,3%,2%,25%,10%,3.6%,10.8%,0 / 16,1 / 6
267,"CAPERTON FERTILITY INSTITUTE, LLC",ALBUQUERQUE,NEW MEXICO,2017,20,14,6,10,50.0%,2 / 14,0 / 6,1 / 10,4.7%,4.4%,12.0%,14.3%,,6 / 13,8%,35%,20%,52%,79%,8%,25%,92.2%,96.4%,91.3%,8 / 8
268,"THE FERTILITY CENTER OF NEW MEXICO, LLC",ALBUQUERQUE,NEW MEXICO,2017,33,19,12,14,48.5%,7 / 19,8 / 12,2 / 14,1.2%,1.7%,4.7%,2 / 16,0 / 1,5 / 10,14%,12%,25%,3%,23%,61%,68%,65.2%,76.9%,60.0%,6 / 8
269,GENESIS FERTILITY & REPRODUCTIVE MEDICINE,BROOKLYN,NEW YORK,2017,132,93,105,52,43.9%,34.4%,10.5%,5.8%,9.9%,14.7%,14.1%,22.5%,40.0%,41.4%,21%,12%,32%,6%,1%,38%,15%,22.9%,17.8%,20.2%,28.6%
270,KOFINAS FERTILITY GROUP,BROOKLYN,NEW YORK,2017,72,62,61,64,51.4%,35.5%,21.3%,20.3%,0.0%,1.0%,0.9%,0.0%,,43.1%,34%,8%,46%,43%,18%,23%,7%,75.8%,79.5%,69.8%,8 / 18
271,"INFERTILITY & IVF MEDICAL ASSOCIATES OF WESTERN NEW YORK, PLLC DBA",BUFFALO,NEW YORK,2017,195,107,94,44,36.4%,27.1%,10.6%,6.8%,9.8%,11.6%,19.1%,27.1%,10 / 17,1 / 4,11%,12%,30%,9%,1%,41%,5%,2.7%,2.2%,7.4%,7.1%
272,"HUDSON VALLEY FERTILITY, PLLC",FISHKILL,NEW YORK,2017,63,30,41,20,33.3%,33.3%,14.6%,10.0%,5.6%,6.2%,10.7%,16.7%,1 / 2,2 / 3,23%,38%,29%,6%,6%,27%,13%,31.9%,13.2%,12.1%,1 / 15
273,THE NEW YORK FERTILITY CENTER,FLUSHING,NEW YORK,2017,97,49,47,34,18.6%,18.4%,6.4%,5.9%,0.0%,0.0%,0.0%,0.0%,,20.0%,5%,8%,16%,3%,7%,7%,10%,6.3%,8.0%,4.5%,0.0%
274,MONTEFIORE'S INSTITUTE FOR REPRODUCTIVE MEDICINE AND HEALTH,HARTSDALE,NEW YORK,2017,46,22,41,21,47.8%,63.6%,22.0%,0.0%,7.2%,10.2%,8.8%,17.1%,,1 / 6,27%,15%,36%,3%,15%,25%,20%,9.3%,9.7%,6.1%,9.5%
