,Reviews_by_sentence,Clinic,clean_answers
393, She said not yet but everything should be covered except the testing,New Hope Fertility Center,say cover test
394, They received the pre authorization 6 days after and the cryopreservation WAS NOT covered and I have know to pay out of pocket,New Hope Fertility Center,receive pre authorization 6 day cryopreservation cover know pay pocket
395, I tried to reach out to the billing department several times but are not addressing my questions nor want to acknowledge the fact that they should have notified me about the eventuality of a cost,New Hope Fertility Center,try reach bill department time address question want acknowledge fact notify eventuality cost
396,I was against the genetic testing and was pushed  to do it,New Hope Fertility Center,genetic test push
397," Now that I am thinking about this horrible pushy experience where the doctors wants to make money more than you having a child, I am sure it was done on purpose",New Hope Fertility Center,think horrible pushy experience doctor want money have child sure purpose
398," I am now  in another fertility clinic in Oradell and it is night and day!!! Also after doing research on New Hope, the way they are handling their business is definitely borderline",New Hope Fertility Center,fertility clinic oradell night day research new hope way handle business definitely borderline
399, In any case I wouldn't recognize this clinic at all and if you have experience similar issues please reach out to me,New Hope Fertility Center,case recognize clinic experience similar issue reach
400, I would love to investigate further,New Hope Fertility Center,love investigate
401,This was one of the worst doctor experiences I've ever had,New Hope Fertility Center,wrong doctor experience
402, Cannot say enough horrible things about this place,New Hope Fertility Center,horrible thing place
403," This is very long, but please read because I do not want this to happen to anyone else",New Hope Fertility Center,long read want happen
404," When I first met with the doctor she was nice, but talked to me for 5 minutes before doing the ultrasound",New Hope Fertility Center,meet doctor nice talk 5 minute ultrasound
405, She didn't hear anything about history or even ask how often we were having sex (something that I think you'd probably want to start with),New Hope Fertility Center,hear history ask have sex think probably want start
406," When she did the ultrasound she said ""looks like you may have some endometriosis",New Hope Fertility Center,ultrasound say look like endometriosis
407,""" That was the end of that conversation",New Hope Fertility Center,end conversation
408, I had to come back for a saline test and I spoke with the nurse who told me to come in before my test results,New Hope Fertility Center,come saline test speak nurse tell come test result
409, They made me wait over 2 hours to get a saline test before I had to come in to read my genetic test results,New Hope Fertility Center,wait 2 hour saline test come read genetic test result
410, I had asked several people while I waiting to make sure they knew the reason we were there and that we were told to come in before the genetic test reading,New Hope Fertility Center,ask people wait sure know reason tell come genetic test read
411, They all confirmed and stated that it would only be a few more minutes,New Hope Fertility Center,confirm state minute
412," Finally, when my husband went up and spoke to someone after 2 hours we were taken in to see the doctor about the genetic results",New Hope Fertility Center,finally husband go speak 2 hour take doctor genetic result
413, She apologized about the confusion and said that the test would be performed right away,New Hope Fertility Center,apologize confusion say test perform right away
414," When I went into the testing room, I told the doctor I was scared because I heard this may hurt",New Hope Fertility Center,go test room tell doctor scare hear hurt
415," She replied, ""The ultrasound??"" to which I said ",New Hope Fertility Center,reply ultrasound say
416,no the saline test,New Hope Fertility Center,saline test
417," She let me know that I had come in ""much too late"" for that and that I did not follow the instructions that were provided to me",New Hope Fertility Center,let know come late follow instruction provide
418, I told her that the nurse asked what day of my cycle I would be on and said it was fine for me to come,New Hope Fertility Center,tell nurse ask day cycle say fine come
419," She then told me, ""oh, don't listen to her",New Hope Fertility Center,tell oh listen
420,she doesn't know what she's talking about,New Hope Fertility Center,know talk
421,""" Ok, that's terrifying",New Hope Fertility Center,ok terrify
422," She then told me I was just ""uneducated,"" but said that they would still be able to perform this test today magically",New Hope Fertility Center,tell uneducated say able perform test today magically
423," Then suddenly, they let me know that they actually would be able to start fertility treatments the following day",New Hope Fertility Center,suddenly let know actually able start fertility treatment follow day
424, This was really shocking because I had been told I needed an HSG test to see if my tubes were blocked but they still wanted to move forward with it,New Hope Fertility Center,shock tell need hsg test tube block want forward
425, They said I was ovulating and to come in tomorrow morning to start,New Hope Fertility Center,say ovulate come tomorrow morning start
426," A few issues, one, I didn't do the recommended tests yet, two, I used an OPK when I woke up the day of the test and I wasn't ovulating (though I know these aren't 100% accurate), third, New Hope won't enroll you in Aetna's fertility program, you",New Hope Fertility Center,issue recommend test opk wake day test ovulate know 100 accurate new hope will enroll aetna fertility program
427," have to do it yourself, but since I wasn't getting the treatment yet I hadn't enrolled so I would of had to pay out of pocket for this but lastly, she had just told me I might have had endometriosis and they weren't even going to look into that? Needless to say, I left there hysterically crying and never went back",New Hope Fertility Center,get treatment enroll pay pocket lastly tell endometriosis go look needless leave hysterically cry go
428, They made an already vulnerable situation way worse,New Hope Fertility Center,vulnerable situation way wrong
429, We now are going to Kofinas Fertility and it's amazing,New Hope Fertility Center,go kofinas fertility amaze
430, The doctor sat with us for 45 minutes to go over our history in detail and now I'm waiting to get help for my endometriosis which they think is the problem before we start fertility treatments,New Hope Fertility Center,doctor sit 45 minute history detail wait help endometriosis think problem start fertility treatment
431," I hate that I had to go through such an awful, degrading experience, however it lead us to Kofinas so it was a blessing in disguise",New Hope Fertility Center,hate awful degrade experience lead kofinas bless disguise
432,I think the fact that they stayed open throughout the entire coronavirus pandemic says a lot about their business and philosophy,New Hope Fertility Center,think fact stay open entire coronavirus pandemic say lot business philosophy
433, Clearly protecting their staff and patients and contributing to the safety of the general public is NOT part of their MO,New Hope Fertility Center,clearly protect staff patient contribute safety general public mo
434,  Money is their MO,New Hope Fertility Center,money mo
435,  My dentist closed down her clinic and donated all of her PPE to the nearest hospital,New Hope Fertility Center,dentist close clinic donate ppe near hospital
436,  I left New Hope years ago and I am glad that I did,New Hope Fertility Center,leave new hope year ago glad
437,  It is poorly run and impersonal,New Hope Fertility Center,poorly run impersonal
438,  Half of the staff there are nice and courteous and helpful,New Hope Fertility Center,half staff nice courteous helpful
439,  The other half hate their jobs and take it out on the patients,New Hope Fertility Center,half hate job patient
440," There was this one ultrasound tech who was rude, sullen, and dismissive for days until one of her colleagues had to apologize to me saying she was ""having a bad week",New Hope Fertility Center,ultrasound tech rude sullen dismissive day colleague apologize say have bad week
441,"""  There is no excuse for that period",New Hope Fertility Center,excuse period
442,"  The only part of their staff that is functional, nice, and efficient is their phlebotomists--very professional as a whole and well-trained",New Hope Fertility Center,staff functional nice efficient phlebotomist professional train
443,  Most of the medical decisions are made by the nurses by some sort of protocol,New Hope Fertility Center,medical decision nurse sort protocol
444,  It is definitely NOT individualized,New Hope Fertility Center,definitely individualize
445,  I find it interesting that Cynthia B wrote a great review and she is an employee,New Hope Fertility Center,find interest cynthia b write great review employee
446,"  And there are several ""great"" reviews by people who have not written any other reviews (hmmm, could they be biased employees? who have faked an account to sing glories about their place of employment?)",New Hope Fertility Center,great review people write review hmmm bias employee fake account sing glory place employment
447,I met with Dr Jackman a couple of weeks ago for an initial consultation,New Hope Fertility Center,meet dr jackman couple week ago initial consultation
448," What started out as an ""educational session"" turned into a full blown sales pitch for IVF treatments",New Hope Fertility Center,start educational session turn blow sale pitch ivf treatment
449, Towards the end of the session (after 1,New Hope Fertility Center,end session 1
450,"5 hours of a full blown sales pitch), her immediate question was ""What should I put you down for? IVF treatments?""",New Hope Fertility Center,5 hour blow sale pitch immediate question ivf treatment
451, We haven't even gone through initial fertility testing to see if that is even necessary,New Hope Fertility Center,go initial fertility test necessary
452, A couple of week's later I got a notice from her office to see when I can start a cycle,New Hope Fertility Center,couple week late get notice office start cycle
453," Again, there was no indication that she had any intention to better understand if fertility treatments are even needed",New Hope Fertility Center,indication intention well understand fertility treatment need
454," She was trying to put pressure on the need to start treatments immediately/not waste time and categorized us as ""infertile"" with no warranted facts; she was trying to prey on a couple's fear and failed, miserably, but I can see many couple's trying for a much longer time and easily falling for this tactic",New Hope Fertility Center,try pressure need start treatment immediately waste time categorize infertile warrant fact try prey couple fear fail miserably couple try long time easily fall tactic
455,  I would strongly caution anyone looking to start this journey with this practice,New Hope Fertility Center,strongly caution look start journey practice
456, Find a Dr that will use proper measures to come up with a non-invasive / cost effective treatment plan,New Hope Fertility Center,find dr use proper measure come non invasive cost effective treatment plan
457,"Planned on writing this review AFTER my procedures, however, decided to do it early",New Hope Fertility Center,planned write review procedure decide early
458,"  Though I was very wary of coming here due to the negative comments, I decided to try it anyway because of their ""quality vs",New Hope Fertility Center,wary come negative comment decide try quality vs
459," quantity"" philosophy",New Hope Fertility Center,quantity philosophy
460,"  I came in with very low expectations for customer service, doctor ""bedside manner"" and the like, HOWEVER, I was very much blown away by how I was treated",New Hope Fertility Center,come low expectation customer service doctor bedside manner like blow away treat
461,  I had my consultation with Dr Olcha who very clearly drew out diagrams on his ipad and explained EVERYTHING to me and my partner,New Hope Fertility Center,consultation dr olcha clearly draw diagram ipad explain partner
462,  I was treated very well by the phlebotomist and the nurse who did my transvaginal ultrasound,New Hope Fertility Center,treat phlebotomist nurse transvaginal ultrasound
463,"  Never had the latter done, but the nurse explained everything about the process as well as what I was seeing on the screen",New Hope Fertility Center,nurse explain process see screen
464,  Partner and I really enjoyed our experience with the doctor and team,New Hope Fertility Center,partner enjoy experience doctor team
465,"  I then thought, maybe they're nice because it's the first visit",New Hope Fertility Center,think maybe nice visit
466,"  Nope, I've gone at least a handful of times (even more in the future) and every time had a professional and respectful experience",New Hope Fertility Center,nope go handful time future time professional respectful experience
467,"  When not at the center and I have questions, I send them an email",New Hope Fertility Center,center question send email
468,"  My emails are promptly responded to and when I email Dr Olcha, he emails me back, right away!  I get a faster response from Dr Olcha than some of my work colleagues, lolz",New Hope Fertility Center,email promptly respond email dr olcha email right away fast response dr olcha work colleague lolz
469,"  I originally was going to do the IUI route, however, will now be doing IVF",New Hope Fertility Center,originally go iui route ivf
470,"  Not sure what the outcome will be, but I have never been more pleased with New Hope",New Hope Fertility Center,sure outcome please new hope
471,"  When I speak to other people about infertility problems, I happily recommend NHFC",New Hope Fertility Center,speak people infertility problem happily recommend nhfc
472,"So far I am very happy with this fertility clinic, and it is my fifth one",New Hope Fertility Center,far happy fertility clinic 5
473," Doctor Zhang is very attentive and passionate about what he does, he is hopeful and realistic at the same time",New Hope Fertility Center,doctor zhang attentive passionate hopeful realistic time
474," He seems to look at my case individually, not just following the same protocol for all, which is what I find to be the case for most clinics, where they treat you like a number, or kettle, no reasoning in mind",New Hope Fertility Center,look case individually follow protocol find case clinic treat like numb kettle reason mind
475," If you do the monitoring early morning, then speaking to a doctor is awarded if you ask for it",New Hope Fertility Center,monitor early morning speak doctor award ask
476," Their clinic is very pleasant with large windows to Columbus Circle and part of Central Park, and natural light is always welcome while going through hard times",New Hope Fertility Center,clinic pleasant large window columbus circle central park natural light welcome go hard time
477," Their system is very efficient as well, which allows for their high demand to not leave us lost in the midst of infertility fog",New Hope Fertility Center,system efficient allow high demand leave lose midst infertility fog
478," Good luck ladies, wishing you success, I'm with you on this hard journey!!!",New Hope Fertility Center,good luck lady wish success hard journey
479,"All thanks to Dr Merhi and NHFC staff, I got a beautiful healthy​ baby girl at the ​age of 39",New Hope Fertility Center,thank dr merhi nhfc staff get beautiful healthy baby girl age 39
480, And now I am going back to Dr Merhi for #2,New Hope Fertility Center,go dr merhi 2
481, Wish me luck! I am writing​ this review because I would like to express my appreciation​ to Dr Merhi,New Hope Fertility Center,wish luck writing review like express appreciation dr merhi
482, He really is the best doctor I have met in my life,New Hope Fertility Center,well doctor meet life
483," He is kind, compassionate, having a ​positive​ vibe and very professional at​​ the same time​​",New Hope Fertility Center,kind compassionate have positive vibe professional at time
484, He listens​ to you and proposes​ the best option,New Hope Fertility Center,listens proposes well option
485," Long story short, when I had a problem with NHFC, Dr Merhi called me to make sure if everything was ok",New Hope Fertility Center,long story short problem nhfc dr merhi call sure okay
486," At that time, I learned​ that he is the doctor that really cares​ about patients​",New Hope Fertility Center,time learned doctor cares patients
487," About the NHFC, I believe it is a good clinic",New Hope Fertility Center,nhfc believe good clinic
488," ​They have​ a great facility​, skilled staff and method​​ to perform a ​ton of success cases",New Hope Fertility Center,they have great facility skilled staff method perform ton success case
489, They generally work very quick and efficient,New Hope Fertility Center,generally work quick efficient
490," On the other hand, I also agree with other people​ that they can re-organize their structure a bit more",New Hope Fertility Center,hand agree people organize structure bite
491," For example, during the procedure, I did not get enough information​ so I needed to google every day​ to understand things",New Hope Fertility Center,example procedure information need google day understand thing
492, I wish they explain better or enrich the website​ articles and forms,New Hope Fertility Center,wish explain well enrich website article form
493," About billing department, I did not have a big issue or cost as I expected the cost as well as I got handout about the fee at the first consultation",New Hope Fertility Center,bill department big issue cost expect cost get handout fee consultation
494," However, there are many hidden fees ( which were mostly covered by my insurance so no so big deal)",New Hope Fertility Center,hide fee cover insurance big deal
495," A minor problem was I unless I ask for the ​receipt​, the billing department never sent them to me",New Hope Fertility Center,minor problem ask receipt bill department send
496," Thus for a long time, I did not know how much I was paying",New Hope Fertility Center,long time know pay
497, They just charge​d from my credit card,New Hope Fertility Center,charged credit card
498,  I hope the ​billing department sends​ receipt​​ every time​ they use my filed credit card,New Hope Fertility Center,hope billing department sends receipt time use file credit card
499," Overall, I definitely​ recommend​ NHFC especially​ they have wonderful​ doctors such as​ Dr Merhi",New Hope Fertility Center,overall definitely recommend nhfc especially wonderful doctor as dr merhi
500, Thank you so much and all the best to people who are​ considering​ to go to NHFC,New Hope Fertility Center,thank well people are considering nhfc
501,Update:I used to recommend this place to everyone but they are really struggling to keep up Dr Zhang is really good at what he does,New Hope Fertility Center,update recommend place struggle dr zhang good
502, I've had a (mostly) good experience with them,New Hope Fertility Center,good experience
503, It is a bit of a factory and you need to take responsibility for raising a flag when you know something doesn't work with your body,New Hope Fertility Center,bite factory need responsibility raise flag know work body
504, I've had to tell them that certain things don't work with the protocol they've given me,New Hope Fertility Center,tell certain thing work protocol give
505," I've done a half dozen rounds at this point, so I've learned a few things about my body",New Hope Fertility Center,half dozen round point learn thing body
506, I do have to say that their major weakness,New Hope Fertility Center,major weakness
507,and it's a significant one,New Hope Fertility Center,significant
508, is their billing department,New Hope Fertility Center,bill department
509," These guys don't seem to be very good at their job (not submitting to insurance for long periods of time, sending surprise bills a year later) nor are they friendly or responsive",New Hope Fertility Center,guy good job submit insurance long period time send surprise bill year late friendly responsive
510," They will outright ignore you - emails, phone calls, messages from the front desk etc",New Hope Fertility Center,outright ignore email phone call message desk etc
511, They don't care,New Hope Fertility Center,care
512," If they make a mistake, they will still treat you like the jerk",New Hope Fertility Center,mistake treat like jerk
513, Their ineptitude has cost the company a lot of money,New Hope Fertility Center,ineptitude cost company lot money
514, I know this bc they have been a major barrier as to why I haven't come in for more rounds of freezing,New Hope Fertility Center,know bc major barrier come round freeze
515, And I'm covered under insurance! Their job should be to make it as easy as possible (and do everything they can to work with insurance) to get people in there,New Hope Fertility Center,cover insurance job easy possible work insurance people
516, That's how revenue is generated after all,New Hope Fertility Center,revenue generate
517, I don't know if the doctors know how much this team is hindering their profits but I hope they see it and figure it out soon,New Hope Fertility Center,know doctor know team hinder profit hope figure soon
518, I would give 5 stars if not for the billing team,New Hope Fertility Center,5 star bill team
519,Update: NHFC came back to me and said it was an error by their outsourced billing company,New Hope Fertility Center,update nhfc come say error outsource bill company
520," They have zero-ed out charges on my account, and I appreciate that they rectified this mistake",New Hope Fertility Center,zero ed charge account appreciate rectify mistake
521,"That being said, would be hesitant to come back for the actual procedure since I hate being surprised by unexpected bills/charges!Revised from 1 star to 3 for customer remediation",New Hope Fertility Center,say hesitant come actual procedure hate surprise unexpected bill chargesrevised 1 star 3 customer remediation
522,Really lovely people and compassionate team of medical professionals,New Hope Fertility Center,lovely people compassionate team medical professional
523, I mentioned them often and frequently to friends,New Hope Fertility Center,mention frequently friend
524,"If you're trying to get pregnant you're familiar with the things you need to look into: the health of your uterus, your fallopian tubes, and your hormone distribution",New Hope Fertility Center,try pregnant familiar thing need look health uterus fallopian tube hormone distribution
525," I'm a 36 year old woman, was born with only one fallopian tube, a polyp in my uterus that needed to be surgically removed, and a moderate to severe hereditary hormone imbalance",New Hope Fertility Center,36 year old woman bear fallopian tube polyp uterus need surgically remove moderate severe hereditary hormone imbalance
526,  Let's not even go there with my PCOS,New Hope Fertility Center,let pcos
527," I was hopeless and this was my 3rd fertility center, the other 2 my husband fired, but not before a few thousand dollars were spent in vain",New Hope Fertility Center,hopeless 3rd fertility center 2 husband fire thousand dollar spend vain
528, I only had optimism and not really a clear picture on what my issues really were,New Hope Fertility Center,optimism clear picture issue
529," Dr Jennifer Kulp-Makarav worked with me, she looked into every crack and crevasse she could and was patient with me",New Hope Fertility Center,dr jennifer kulp makarav work look crack crevasse patient
530," She was always available and the visits were quick, clear and concise with instruction as to what course of action she was taking",New Hope Fertility Center,available visit quick clear concise instruction course action take
531," Here I am 11 months later I'm finally pregnant, see my baby, and hear his heartbeat via ultrasound",New Hope Fertility Center,11 month late finally pregnant baby hear heartbeat ultrasound
532, I froze my eggs there and did Mini IVF,New Hope Fertility Center,freeze egg mini ivf
533, Got 12 more embryos to go so you see they know what they're doing as far as process and most importantly I knew what they were doing each step of the way as well,New Hope Fertility Center,got 12 embryo know far process importantly know step way
534," Look, in a nutshell this is a one stop shop, and if you want to find out what's going on AND get pregnant this is the place",New Hope Fertility Center,look nutshell stop shop want find go pregnant place
535, They also work with you regarding the NYS Infertility grant program,New Hope Fertility Center,work nys infertility grant program
536,  This process was actually affordable too believe it or not,New Hope Fertility Center,process actually affordable believe
537," If I have any complaints, it would be the fact that they dont deliver the actual baby lol I dont want to trust anyone else with my miracle but them!!!",New Hope Fertility Center,complaint fact not deliver actual baby lol not want trust miracle
538,Update Update!!!!I changed my insurance and thanks to Dr Yang and his staff I am 9 weeks pregnant with my twins!! I did one cycle/round of IVF and our dreams are coming true!! We are over the moon happy!! I know this sounds crazy but I am going to miss the staff! They were always so pleasant and positive and that kept me motivated,New Hope Fertility Center,update updatei change insurance thank dr yang staff 9 week pregnant twin cycle round ivf dream come true moon happy know sound crazy go miss staff pleasant positive keep motivate
539, I can not thank them all enough for the many blessings we have and are going to receive,New Hope Fertility Center,thank blessing go receive
540,  UPDATE UPDATE UPDATE!!!!The twins are 15 months old and a complete joy!!! I can not express enough how overjoyed we are!! If I had to do it all over again I wouldn't change a thing,New Hope Fertility Center,update update updatethe twin 15 month old complete joy express overjoyed change thing
541, Best experience ever,New Hope Fertility Center,best experience
542,I gave 2 two stars because of I got pregnant,New Hope Fertility Center,give 2 star get pregnant
543,Other things is unhappy,New Hope Fertility Center,thing unhappy
544, I feel like they treat patient like number,New Hope Fertility Center,feel like treat patient like numb
545, They don't care patients,New Hope Fertility Center,care patient
546,They are explaining is never enough what's going on and what's the plan,New Hope Fertility Center,explain go plan
547,Dr Merhi is wonderful,New Hope Fertility Center,dr merhi wonderful
548,  I would recommend him to absolutely ANYONE looking to get pregnant,New Hope Fertility Center,recommend absolutely look pregnant
549,  I can't believe the negative reviews for NH because my experience has only been positive,New Hope Fertility Center,believe negative review nh experience positive
550,  The staff is so kind and caring - the front desk remembers my name when I come in even though they are looking at hundreds of faces each day,New Hope Fertility Center,staff kind care desk remember come look hundred face day
551,  The nurses are wonderful and responsive as is the prescription coordinator,New Hope Fertility Center,nurse wonderful responsive prescription coordinator
552,  I get responses to my emails usually right away but always within a few hours,New Hope Fertility Center,response email usually right away hour
553,"  Special shout out to the PAs who draw my blood every day because I am NOT an easy stick, and they never lose their patience or hesitate to ask a colleague for assistance if needed",New Hope Fertility Center,special shout pa draw blood day easy stick lose patience hesitate ask colleague assistance need
554,  The sonogram technicians are all so sweet and patient with all my questions,New Hope Fertility Center,sonogram technician sweet patient question
555,"  Any time I've wanted to speak to the doctor, he makes time for me",New Hope Fertility Center,time want speak doctor make time
556,"  All in all, I recommend the practice and especially Dr Merhi!",New Hope Fertility Center,recommend practice especially dr merhi
557,I have had success because my case wasn't very complicated,New Hope Fertility Center,success case complicate
558, You have to be your own advocate when you are working with NHFC becasue often times you feel like staff/ docs/ nurses that communicate with you do not care,New Hope Fertility Center,advocate work nhfc becasue time feel like staff docs nurse communicate care
559,"  If you are coming from outside NYC, spending your time and effort traveling, you will often find yourself frustrated because a lot of your questions, be it about the procedures, billing are simply going to go unanswered",New Hope Fertility Center,come outside nyc spend time effort travel find frustrate lot question procedure bill simply go unanswered
560," Many times, i have had to call, email three/frour times just to confirm that they received my test results and what my next steps were going to be",New Hope Fertility Center,time email frour time confirm receive test result step go
561," Often to the point of missing the window of opportunity,",New Hope Fertility Center,point miss window opportunity
562," You have to be extremely well informed about the processes and be pesky and ask a lot of questions, unfortunately, to which you may or may not get all your answers",New Hope Fertility Center,extremely inform process pesky ask lot question unfortunately answer
563, You will not get the one on one attention you may have hoped for,New Hope Fertility Center,attention hope
564,"instead it feels like a ""take it or leave it"" attitude that all the staff from top down seem to take",New Hope Fertility Center,instead feel like leave attitude staff
565," I did recommend a few friends and family to the clinic hoping for success that I have had atleast with the procedure, but warning them that the treatment from staff from top down will feel a bit off",New Hope Fertility Center,recommend friend family clinic hope success atleast procedure warn treatment staff feel bite
566," Their accounts of severe lack of communication, billing irregularities, failing to find anyone to take up their issues to or treat them fairly as a customer, is worse than what i experienced and expected",New Hope Fertility Center,account severe lack communication bill irregularity fail find issue treat fairly customer wrong experience expect
567, So i'm very weary about recommending the clinic again,New Hope Fertility Center,weary recommend clinic
568,  You will find that the price is often time less than what you may pay at the IVF clinics in other parts of the country for similar procedures,New Hope Fertility Center,find price time pay ivf clinic part country similar procedure
569," however, you will pay in terms of how little communications and explanations you will the scheduling, nursing staff, and doctors",New Hope Fertility Center,pay term little communication explanation schedule nurse staff doctor
570,"You will pay in your time, how frustrated their process and their way of conducting business will make you feel",New Hope Fertility Center,pay time frustrate process way conduct business feel
571," Overall, if you are from the city, well informed and educated about the procedures you are being recommended, know your rights as a patient, know the code of conduct expected of a Clinic like this, and know how to hold parties accountable - then go for it",New Hope Fertility Center,overall city inform educate procedure recommend know right patient know code conduct expect clinic like know hold party accountable
572,"I made appointment at 12pm, finally my name got called at 1:15pm",New Hope Fertility Center,appointment 12 pm finally get call 115pm
573, They asked me to do the blood test and ultrasound before even talk to the doctor,New Hope Fertility Center,ask blood test ultrasound talk doctor
574, And I am still waiting after I said I would like to talk to the doc first,New Hope Fertility Center,wait say like talk doc
575," First time here, definitely the last time as well!!!",New Hope Fertility Center,time definitely time
576,I have been happy so far with my process,New Hope Fertility Center,happy far process
577, The genetic results (NICS) took longer than usual but overall I am happy,New Hope Fertility Center,genetic result nics take long usual overall happy
578, We have one healthy embryo to transfer,New Hope Fertility Center,healthy embryo transfer
579, I can't wait to be a mum,New Hope Fertility Center,wait mum
580,The clinic is like all New York clinics,New Hope Fertility Center,clinic like new york clinic
581,"Dr Merhi, is a very skilled, knowledgable and attentive doctor",New Hope Fertility Center,dr merhi skilled knowledgable attentive doctor
582, He listens to the patient and is not interested in personal results and stats but is genuinely interested in the well being of his patient,New Hope Fertility Center,listen patient interest personal result stats genuinely interest patient
583, He has excellent bed side manners,New Hope Fertility Center,excellent bed manner
584, He makes himself available to answer questions and is very reassuring,New Hope Fertility Center,make available answer question reassure
585, He also matter of fact and practical,New Hope Fertility Center,matt fact practical
586, I am now 9 weeks pregnant at 45 with my own egg (after having been told by others that I would have go with ovo donation),New Hope Fertility Center,9 week pregnant 45 egg have tell ovo donation
587, I plan on returning to Dr Merhi for my second child,New Hope Fertility Center,plan return dr merhi 2 child
588,The only downside for me is the billing department of the clinic,New Hope Fertility Center,downside bill department clinic
589, They could be more compassionate and treat you less like a number,New Hope Fertility Center,compassionate treat like numb
590,"The treatment, interactions and relationship with both administrative and medical staff was stellar",New Hope Fertility Center,treatment interaction relationship administrative medical staff stellar
591," Especially, Dr Merhi's care was consistently kind, focused, informed, and of the highest medical caliber and indicative of extensive, specialized training and knowledge",New Hope Fertility Center,especially dr merhi care consistently kind focus inform high medical caliber indicative extensive specialize train knowledge
592," The overall experience was always very informative, pleasant and helpful",New Hope Fertility Center,overall experience informative pleasant helpful
593," Both the doctor and staff were organized, knowledgeable and professional in all aspects of the care and specific treatments involved, and made me feel at ease and encouraged to ask any questions/make personalized requests",New Hope Fertility Center,doctor staff organize knowledgeable professional aspect care specific treatment involve feel ease encourage ask question personalize request
594," I am highly impressed with this clinic and unequivocally recommend NHFC and particularly, Dr Merhi",New Hope Fertility Center,highly impress clinic unequivocally recommend nhfc particularly dr merhi
595,Poor Customer Service!!! After calling this office and speaking to the receptionist who then transferred my call to a Justine R,New Hope Fertility Center,poor customer service call office speak receptionist transfer justine r
596," who did not want to disclose her last name for obvious reasons was extremely rude, unprofessional and argumentative with me",New Hope Fertility Center,want disclose obvious reason extremely rude unprofessional argumentative
597, I called the office to speak with Dr Zhang so that he may explain results that I had received,New Hope Fertility Center,call office speak dr zhang explain result receive
598, But when I called she was not only rude but refused to even take a message for Zhang,New Hope Fertility Center,call rude refuse message zhang
599,"I just wanna say thank you  to NHFC I've never been pregnant in my life I'm 31 years old until now and I've tried! I'm currently 2 1/2 months pregnant  & I still can't believe this! Yes like every establishment they have there flaws but the clinic itself was worth every penny I spent!! They were very attentive to what I wanted to do! I made sure I stayed on top of them because this is something I really wanted the same way when it comes to wanting a job!! The place is clean, they provide snacks for you while you wait! I highly recommend this place if your having issues getting pregnant! It's not a easy process but the reward at the end is well worth the fight! Thank you Dr Merhi",New Hope Fertility Center,wanna thank nhfc pregnant life 31 year old try currently 2 12 month pregnant believe yes like establishment flaw clinic worth penny spend attentive want sure stay want way come want job place clean provide snack wait highly recommend place have issue get pregnant easy process reward end worth fight thank dr merhi
600,One star for the very nice nurses,New Hope Fertility Center,star nice nurse
601,  I came here over a year ago as recommended by my OB-gyn,New Hope Fertility Center,come year ago recommend ob gyn
602,"  I had an appointment with one doctor, who canceled on me and was rescheduled with a new doctor",New Hope Fertility Center,appointment doctor cancel reschedule new doctor
603,"  After taking time off work and sitting in the waiting room for long past my appointment time, I was told that my new doctor was canceling and would call me that evening",New Hope Fertility Center,take time work sit wait room long past appointment time tell new doctor cancel even
604,"  In the meantime, I was to start bloodwork and monitoring",New Hope Fertility Center,meantime start bloodwork monitor
605,"  After my blood was taken, I was ushered to ""billing"" where I was asked to set up a payment plan for IVF",New Hope Fertility Center,blood take usher bill ask set payment plan ivf
606,  What? Do I need IVF yet? No one has even spoken to me,New Hope Fertility Center,need ivf speak
607,  I was incredibly put off,New Hope Fertility Center,incredibly
608,  After speaking to the doctor - who appeared to have not even looked at my chart- missing vital info like I was on a medication dangerous for trying to conceive- I was told to come in over and over for monitoring,New Hope Fertility Center,speak doctor appear look chart miss vital info like medication dangerous try conceive tell come monitor
609,  I did this a few times- never understanding what I was doing or receiving any follow up,New Hope Fertility Center,times understand receive follow
610,  I finally burned out on the awful feeling of not even being a human or having a name to these people and I stopped going,New Hope Fertility Center,finally burn awful feel human have people stop go
611,  I was so scared off - it took me almost a year to summon the energy to try to find another clinic and go through it again,New Hope Fertility Center,scare take year summon energy try find clinic
612,  I am so thankful that I did because I found a clinic and doctor who have made the process so much easier by treating me like a human being,New Hope Fertility Center,thankful find clinic doctor process easy treat like human
613,  I am currently in my first IVF cycle and wish I wouldn't have waited so long after this awful experience at New Hope,New Hope Fertility Center,currently ivf cycle wish wait long awful experience new hope
614,We had a great experience at New Hope,New Hope Fertility Center,great experience new hope
615,"  Yes we had success and recently delivered a beautiful healthy baby girl, but I felt the whole process was smooth and very attentive",New Hope Fertility Center,yes success recently deliver beautiful healthy baby girl feel process smooth attentive
616,  I appreciated the monitoring once we found out we were pregnant to make sure things were progressing as they should,New Hope Fertility Center,appreciate monitor find pregnant sure thing progress
617,  It put me at ease during those early weeks when anything could happen,New Hope Fertility Center,ease early week happen
618," Overall, I highly recommend and if we decide for a second child we will be using them again",New Hope Fertility Center,overall highly recommend decide 2 child
619,"While it's wonderful that they offer more affordable fertility treatments, as compared to most other fertility clinics in the metropolitan area, they literally have no customer service",New Hope Fertility Center,wonderful offer affordable fertility treatment compare fertility clinic metropolitan area literally customer service
620," On a few occasions we asked them who we might bring various issues to, so that the process went smoother, and nursing told us that they handled that",New Hope Fertility Center,occasion ask bring issue process go smooth nurse tell handle
