,Reviews_by_sentence,Clinic,clean_answers
503, I've had a (mostly) good experience with them,New Hope Fertility Center,' mostly good experience
504, It is a bit of a factory and you need to take responsibility for raising a flag when you know something doesn't work with your body,New Hope Fertility Center,bit factory need take responsibility raising flag know something not work body
505, I've had to tell them that certain things don't work with the protocol they've given me,New Hope Fertility Center,' tell certain things not work protocol given
506," I've done a half dozen rounds at this point, so I've learned a few things about my body",New Hope Fertility Center,' do half dozen round point ' learn things body
507, I do have to say that their major weakness,New Hope Fertility Center,say major weakness
508,and it's a significant one,New Hope Fertility Center,significant one
509, is their billing department,New Hope Fertility Center,billing department
510," These guys don't seem to be very good at their job (not submitting to insurance for long periods of time, sending surprise bills a year later) nor are they friendly or responsive",New Hope Fertility Center,guy not seem good job not submit insurance long period time sending surprise bill year later friendly responsive
511," They will outright ignore you - emails, phone calls, messages from the front desk etc",New Hope Fertility Center,outright ignore email phone call message front desk etc
512, They don't care,New Hope Fertility Center,not care
513," If they make a mistake, they will still treat you like the jerk",New Hope Fertility Center,make mistake still treat like jerk
514, Their ineptitude has cost the company a lot of money,New Hope Fertility Center,ineptitude cost company lot money
515, I know this bc they have been a major barrier as to why I haven't come in for more rounds of freezing,New Hope Fertility Center,know bc major barrier not come round freezing
516, And I'm covered under insurance! Their job should be to make it as easy as possible (and do everything they can to work with insurance) to get people in there,New Hope Fertility Center,' cover insurance job make easy possible everything work insurance get people
517, That's how revenue is generated after all,New Hope Fertility Center,revenue generate
518, I don't know if the doctors know how much this team is hindering their profits but I hope they see it and figure it out soon,New Hope Fertility Center,not know doctor know much team hinder profits hope see figure soon
519, I would give 5 stars if not for the billing team,New Hope Fertility Center,would give 5 star not billing team
520,Update: NHFC came back to me and said it was an error by their outsourced billing company,New Hope Fertility Center,update : nhfc come back say error outsource billing company
521," They have zero-ed out charges on my account, and I appreciate that they rectified this mistake",New Hope Fertility Center,zero ed charge account appreciate rectify mistake
522,"That being said, would be hesitant to come back for the actual procedure since I hate being surprised by unexpected bills/charges!Revised from 1 star to 3 for customer remediation",New Hope Fertility Center,say would hesitant come back actual procedure since hate surprise unexpected bill charge revise 1 star 3 customer remediation
523,Really lovely people and compassionate team of medical professionals,New Hope Fertility Center,really lovely people compassionate team medical professional
524, I mentioned them often and frequently to friends,New Hope Fertility Center,mention often frequently friend
525,"If you're trying to get pregnant you're familiar with the things you need to look into: the health of your uterus, your fallopian tubes, and your hormone distribution",New Hope Fertility Center,try get pregnant familiar things need look : health uterus fallopian tube hormone distribution
526," I'm a 36 year old woman, was born with only one fallopian tube, a polyp in my uterus that needed to be surgically removed, and a moderate to severe hereditary hormone imbalance",New Hope Fertility Center,' 36 year old woman born one fallopian tube polyp uterus need surgically remove moderate severe hereditary hormone imbalance
527,  Let's not even go there with my PCOS,New Hope Fertility Center,let us not even go pcos
528," I was hopeless and this was my 3rd fertility center, the other 2 my husband fired, but not before a few thousand dollars were spent in vain",New Hope Fertility Center,hopeless 3rd fertility center 2 husband fire not thousand dollar spend vain
529, I only had optimism and not really a clear picture on what my issues really were,New Hope Fertility Center,optimism not really clear picture issue really
530," Dr Jennifer Kulp-Makarav worked with me, she looked into every crack and crevasse she could and was patient with me",New Hope Fertility Center,dr jennifer kulp makarav work look every crack crevasse could patient
531," She was always available and the visits were quick, clear and concise with instruction as to what course of action she was taking",New Hope Fertility Center,always available visit quick clear concise instruction course action taking
532," Here I am 11 months later I'm finally pregnant, see my baby, and hear his heartbeat via ultrasound",New Hope Fertility Center,11 month later ' finally pregnant see baby hear heartbeat via ultrasound
533, I froze my eggs there and did Mini IVF,New Hope Fertility Center,freeze eggs mini ivf
534, Got 12 more embryos to go so you see they know what they're doing as far as process and most importantly I knew what they were doing each step of the way as well,New Hope Fertility Center,get 12 embryo go see know far process importantly know step way well
535," Look, in a nutshell this is a one stop shop, and if you want to find out what's going on AND get pregnant this is the place",New Hope Fertility Center,look nutshell one stop shop want find going get pregnant place
536, They also work with you regarding the NYS Infertility grant program,New Hope Fertility Center,also work regard ny infertility grant program
537,  This process was actually affordable too believe it or not,New Hope Fertility Center,process actually affordable believe not
538," If I have any complaints, it would be the fact that they dont deliver the actual baby lol I dont want to trust anyone else with my miracle but them!!!",New Hope Fertility Center,complaint would fact dont deliver actual baby lol dont want trust anyone else miracle !!!
539,Update Update!!!!I changed my insurance and thanks to Dr Yang and his staff I am 9 weeks pregnant with my twins!! I did one cycle/round of IVF and our dreams are coming true!! We are over the moon happy!! I know this sounds crazy but I am going to miss the staff! They were always so pleasant and positive and that kept me motivated,New Hope Fertility Center,update update !!!! change insurance thanks dr yang staff 9 week pregnant twins !! one cycle round ivf dream coming true !! moon happy !! know sound crazy going miss staff always pleasant positive keep motivate
540, I can not thank them all enough for the many blessings we have and are going to receive,New Hope Fertility Center,not thank enough many blessing going receive
541,  UPDATE UPDATE UPDATE!!!!The twins are 15 months old and a complete joy!!! I can not express enough how overjoyed we are!! If I had to do it all over again I wouldn't change a thing,New Hope Fertility Center,update update update !!!! twins 15 month old complete joy !!! not express enough overjoy !! would not change thing
542, Best experience ever,New Hope Fertility Center,best experience ever
543,I gave 2 two stars because of I got pregnant,New Hope Fertility Center,give 2 two star get pregnant
544,Other things is unhappy,New Hope Fertility Center,things unhappy
545, I feel like they treat patient like number,New Hope Fertility Center,feel like treat patient like number
546, They don't care patients,New Hope Fertility Center,not care patient
547,They are explaining is never enough what's going on and what's the plan,New Hope Fertility Center,explain never enough going plan
548,Dr Merhi is wonderful,New Hope Fertility Center,dr merhi wonderful
549,  I would recommend him to absolutely ANYONE looking to get pregnant,New Hope Fertility Center,would recommend absolutely anyone looking get pregnant
550,  I can't believe the negative reviews for NH because my experience has only been positive,New Hope Fertility Center,cannot believe negative review nh experience positive
551,  The staff is so kind and caring - the front desk remembers my name when I come in even though they are looking at hundreds of faces each day,New Hope Fertility Center,staff kind caring front desk remember name come even though looking hundred face day
552,  The nurses are wonderful and responsive as is the prescription coordinator,New Hope Fertility Center,nurse wonderful responsive prescription coordinator
553,  I get responses to my emails usually right away but always within a few hours,New Hope Fertility Center,get response email usually right away always within hours
554,"  Special shout out to the PAs who draw my blood every day because I am NOT an easy stick, and they never lose their patience or hesitate to ask a colleague for assistance if needed",New Hope Fertility Center,special shout pas draw blood every day not easy stick never lose patience hesitate ask colleague assistance need
555,  The sonogram technicians are all so sweet and patient with all my questions,New Hope Fertility Center,sonogram technician sweet patient question
556,"  Any time I've wanted to speak to the doctor, he makes time for me",New Hope Fertility Center,time ' want speak doctor make time
557,"  All in all, I recommend the practice and especially Dr Merhi!",New Hope Fertility Center,recommend practice especially dr merhi
558,I have had success because my case wasn't very complicated,New Hope Fertility Center,success case not complicate
559, You have to be your own advocate when you are working with NHFC becasue often times you feel like staff/ docs/ nurses that communicate with you do not care,New Hope Fertility Center,advocate working nhfc becasue often times feel like staff doc nurse communicate not care
560,"  If you are coming from outside NYC, spending your time and effort traveling, you will often find yourself frustrated because a lot of your questions, be it about the procedures, billing are simply going to go unanswered",New Hope Fertility Center,coming outside nyc spending time effort traveling often find frustrate lot question procedure billing simply going go unanswered
561," Many times, i have had to call, email three/frour times just to confirm that they received my test results and what my next steps were going to be",New Hope Fertility Center,many times call email three frour times confirm receive test result next steps going
562," Often to the point of missing the window of opportunity,",New Hope Fertility Center,often point miss window opportunity
563," You have to be extremely well informed about the processes and be pesky and ask a lot of questions, unfortunately, to which you may or may not get all your answers",New Hope Fertility Center,extremely well inform process pesky ask lot question unfortunately may may not get answer
564, You will not get the one on one attention you may have hoped for,New Hope Fertility Center,not get one one attention may hope
565,"instead it feels like a ""take it or leave it"" attitude that all the staff from top down seem to take",New Hope Fertility Center,instead feel like take leave attitude staff top seem take
566," I did recommend a few friends and family to the clinic hoping for success that I have had atleast with the procedure, but warning them that the treatment from staff from top down will feel a bit off",New Hope Fertility Center,recommend friend family clinic hope success atleast procedure warning treatment staff top feel bit
567," Their accounts of severe lack of communication, billing irregularities, failing to find anyone to take up their issues to or treat them fairly as a customer, is worse than what i experienced and expected",New Hope Fertility Center,account severe lack communication billing irregularity failing find anyone take issue treat fairly customer worse experience expect
568, So i'm very weary about recommending the clinic again,New Hope Fertility Center,' weary recommend clinic
569,  You will find that the price is often time less than what you may pay at the IVF clinics in other parts of the country for similar procedures,New Hope Fertility Center,find price often time le may pay ivf clinic parts country similar procedure
570," however, you will pay in terms of how little communications and explanations you will the scheduling, nursing staff, and doctors",New Hope Fertility Center,however pay terms little communications explanation scheduling nursing staff doctor
571,"You will pay in your time, how frustrated their process and their way of conducting business will make you feel",New Hope Fertility Center,pay time frustrate process way conducting business make feel
572," Overall, if you are from the city, well informed and educated about the procedures you are being recommended, know your rights as a patient, know the code of conduct expected of a Clinic like this, and know how to hold parties accountable - then go for it",New Hope Fertility Center,overall city well inform educate procedure recommend know right patient know code conduct expect clinic like know hold party accountable go
573,"I made appointment at 12pm, finally my name got called at 1:15pm",New Hope Fertility Center,make appointment 12pm finally name get call 1 : 15pm
574, They asked me to do the blood test and ultrasound before even talk to the doctor,New Hope Fertility Center,ask blood test ultrasound even talk doctor
575, And I am still waiting after I said I would like to talk to the doc first,New Hope Fertility Center,still waiting say would like talk doc first
576," First time here, definitely the last time as well!!!",New Hope Fertility Center,first time definitely last time well !!!
577,I have been happy so far with my process,New Hope Fertility Center,happy far process
578, The genetic results (NICS) took longer than usual but overall I am happy,New Hope Fertility Center,genetic result nics take longer usual overall happy
579, We have one healthy embryo to transfer,New Hope Fertility Center,one healthy embryo transfer
580, I can't wait to be a mum,New Hope Fertility Center,cannot wait mum
581, Wish me luck!,New Hope Fertility Center,wish luck
582,The clinic is like all New York clinics,New Hope Fertility Center,clinic like new york clinic
583,"Dr Merhi, is a very skilled, knowledgable and attentive doctor",New Hope Fertility Center,dr merhi skilled knowledgable attentive doctor
584, He listens to the patient and is not interested in personal results and stats but is genuinely interested in the well being of his patient,New Hope Fertility Center,listen patient not interest personal result stats genuinely interest well patient
585, He has excellent bed side manners,New Hope Fertility Center,excellent bed side manners
586, He makes himself available to answer questions and is very reassuring,New Hope Fertility Center,make available answer question reassure
587, He also matter of fact and practical,New Hope Fertility Center,also matter fact practical
588, I am now 9 weeks pregnant at 45 with my own egg (after having been told by others that I would have go with ovo donation),New Hope Fertility Center,9 week pregnant 45 egg tell others would go ovo donation
589, I plan on returning to Dr Merhi for my second child,New Hope Fertility Center,plan return dr merhi second child
590,The only downside for me is the billing department of the clinic,New Hope Fertility Center,downside billing department clinic
591, They could be more compassionate and treat you less like a number,New Hope Fertility Center,could compassionate treat le like number
592,"The treatment, interactions and relationship with both administrative and medical staff was stellar",New Hope Fertility Center,treatment interaction relationship administrative medical staff stellar
593," Especially, Dr Merhi's care was consistently kind, focused, informed, and of the highest medical caliber and indicative of extensive, specialized training and knowledge",New Hope Fertility Center,especially dr merhi ' care consistently kind focus inform high medical caliber indicative extensive specialize training knowledge
594," The overall experience was always very informative, pleasant and helpful",New Hope Fertility Center,overall experience always informative pleasant helpful
595," Both the doctor and staff were organized, knowledgeable and professional in all aspects of the care and specific treatments involved, and made me feel at ease and encouraged to ask any questions/make personalized requests",New Hope Fertility Center,doctor staff organize knowledgeable professional aspect care specific treatment involve make feel ease encourage ask question make personalize request
596," I am highly impressed with this clinic and unequivocally recommend NHFC and particularly, Dr Merhi",New Hope Fertility Center,highly impress clinic unequivocally recommend nhfc particularly dr merhi
597,Poor Customer Service!!! After calling this office and speaking to the receptionist who then transferred my call to a Justine R,New Hope Fertility Center,poor customer service !!! calling office speaking receptionist transfer call justine r
598," who did not want to disclose her last name for obvious reasons was extremely rude, unprofessional and argumentative with me",New Hope Fertility Center,not want disclose last name obvious reason extremely rude unprofessional argumentative
599, I called the office to speak with Dr Zhang so that he may explain results that I had received,New Hope Fertility Center,call office speak dr zhang may explain result receive
600, But when I called she was not only rude but refused to even take a message for Zhang,New Hope Fertility Center,call not rude refuse even take message zhang
601,"I just wanna say thank you  to NHFC I've never been pregnant in my life I'm 31 years old until now and I've tried! I'm currently 2 1/2 months pregnant  & I still can't believe this! Yes like every establishment they have there flaws but the clinic itself was worth every penny I spent!! They were very attentive to what I wanted to do! I made sure I stayed on top of them because this is something I really wanted the same way when it comes to wanting a job!! The place is clean, they provide snacks for you while you wait! I highly recommend this place if your having issues getting pregnant! It's not a easy process but the reward at the end is well worth the fight! Thank you Dr Merhi",New Hope Fertility Center,wanna say thank nhfc ' never pregnant life ' 31 years old ' try ' currently 2 1 2 month pregnant & still cannot believe yes like every establishment flaw clinic worth every penny spend !! attentive want make sure stay top something really want way come want job !! place clean provide snack wait highly recommend place issue getting pregnant not easy process reward end well worth fight thank dr merhi
602,One star for the very nice nurses,New Hope Fertility Center,one star nice nurse
603,  I came here over a year ago as recommended by my OB-gyn,New Hope Fertility Center,come year ago recommend ob gyn
604,"  I had an appointment with one doctor, who canceled on me and was rescheduled with a new doctor",New Hope Fertility Center,appointment one doctor cancel reschedule new doctor
605,"  After taking time off work and sitting in the waiting room for long past my appointment time, I was told that my new doctor was canceling and would call me that evening",New Hope Fertility Center,taking time work sitting waiting room long past appointment time tell new doctor cancel would call evening
606,"  In the meantime, I was to start bloodwork and monitoring",New Hope Fertility Center,meantime start bloodwork monitoring
607,"  After my blood was taken, I was ushered to ""billing"" where I was asked to set up a payment plan for IVF",New Hope Fertility Center,blood take usher billing ask set payment plan ivf
608,  What? Do I need IVF yet? No one has even spoken to me,New Hope Fertility Center,need ivf yet no one even speak
609,  I was incredibly put off,New Hope Fertility Center,incredibly put
610,  After speaking to the doctor - who appeared to have not even looked at my chart- missing vital info like I was on a medication dangerous for trying to conceive- I was told to come in over and over for monitoring,New Hope Fertility Center,speaking doctor appear not even look chart miss vital info like medication dangerous try conceive tell come monitoring
611,  I did this a few times- never understanding what I was doing or receiving any follow up,New Hope Fertility Center,times never understanding receive follow
612,  I finally burned out on the awful feeling of not even being a human or having a name to these people and I stopped going,New Hope Fertility Center,finally burn awful feeling not even human name people stop going
613,  I was so scared off - it took me almost a year to summon the energy to try to find another clinic and go through it again,New Hope Fertility Center,scare take almost year summon energy try find another clinic go
614,  I am so thankful that I did because I found a clinic and doctor who have made the process so much easier by treating me like a human being,New Hope Fertility Center,thankful found clinic doctor make process much easy treat like human
615,  I am currently in my first IVF cycle and wish I wouldn't have waited so long after this awful experience at New Hope,New Hope Fertility Center,currently first ivf cycle wish would not wait long awful experience new hope
616,We had a great experience at New Hope,New Hope Fertility Center,great experience new hope
617,"  Yes we had success and recently delivered a beautiful healthy baby girl, but I felt the whole process was smooth and very attentive",New Hope Fertility Center,yes success recently deliver beautiful healthy baby girl felt whole process smooth attentive
618,  I appreciated the monitoring once we found out we were pregnant to make sure things were progressing as they should,New Hope Fertility Center,appreciate monitoring found pregnant make sure things progress
619,  It put me at ease during those early weeks when anything could happen,New Hope Fertility Center,put ease early week anything could happen
620," Overall, I highly recommend and if we decide for a second child we will be using them again",New Hope Fertility Center,overall highly recommend decide second child using
621,"While it's wonderful that they offer more affordable fertility treatments, as compared to most other fertility clinics in the metropolitan area, they literally have no customer service",New Hope Fertility Center,wonderful offer affordable fertility treatment compare fertility clinic metropolitan area literally no customer service
622," On a few occasions we asked them who we might bring various issues to, so that the process went smoother, and nursing told us that they handled that",New Hope Fertility Center,occasions ask might bring various issue process go smoother nursing tell us handle
623, The nurses are good at what they do but they are not prepared to handle issues with customer service,New Hope Fertility Center,nurse good not prepare handle issue customer service
624,"The place is very efficient and run like a factory, which is probably how they keep costs down, but also results in very impersonal treatment",New Hope Fertility Center,place efficient run like factory probably keep costs also result impersonal treatment
625,"After we decided to stop treatment due to a number of failed attempts, we explained that we were going to stop with the doctor involved",New Hope Fertility Center,decide stop treatment due number fail attempt explain going stop doctor involve
626," It should be noted that we were regularly reminded how poor our odds of success were, and the doctor agreed that stopping made sense",New Hope Fertility Center,note regularly remind poor odds success doctor agree stopping make sense
627,"Months later we received an inquiry about our lapse, and when we'd be resuming treatment",New Hope Fertility Center,month later receive inquiry lapse would resume treatment
628," We responded that we had informed them we had decided to stop treatment and voiced our issues with the fact that they never seemed to check their records, or simply failed to record it",New Hope Fertility Center,respond inform decide stop treatment voice issue fact never seem check record simply fail record
629, We received a short statement that we would no longer be communicated with,New Hope Fertility Center,receive short statement would no longer communicate
630, We replied that we were asking to be acknowledged in some way and treated like individuals but received no further response,New Hope Fertility Center,reply asking acknowledge way treat like individual receive no response
631, It's unfortunate,New Hope Fertility Center,unfortunate
632," If New Hope had a couple of people to actually support patients I think it would make a world of difference, but they don't seem to consider that with their current business model",New Hope Fertility Center,new hope couple people actually support patient think would make world difference not seem consider current business model
633, Guess they put more value in saving the money they might invest in customer support,New Hope Fertility Center,guess put value saving money might invest customer support
634," Considering how much they must make, I think this shows a real lack of care in their patients",New Hope Fertility Center,consider much must make think show real lack care patient
635,"STAY AWAY!!! RUN RUN RUN!!!New Hope Fertility Center should be called ""NO hope""",New Hope Fertility Center,stay away !!! run run run !!! new hope fertility center call no hope
636, I cannot imagine I spent my precious two years to do IVF here for many cycles,New Hope Fertility Center,cannot imagine spend precious two years ivf many cycle
637, The doctors are not knowledgeable and I had many failed cycles because they use inappropriate protocols and even cannot do the trigger timing correctly,New Hope Fertility Center,doctor not knowledgeable many fail cycle use inappropriate protocol even cannot trigger timing correctly
638, I have seen many patients with messed up cycles because of doctors' mistakes,New Hope Fertility Center,see many patient mess cycle doctor ' mistake
639, Their lab is well-known to be unstable and bad quality,New Hope Fertility Center,lab well know unstable bad quality
640," For example, they even let junior embryologist directly do ICSI without going through training",New Hope Fertility Center,example even let junior embryologist directly icsi without going training
641, Why? Save cost! You have no idea how your embryos died in their lab,New Hope Fertility Center,save cost no idea embryo die lab
642," The success of getting blast for embryos can be significantly lower in busier seasons, such as summer",New Hope Fertility Center,success getting blast embryo significantly lower busy season summer
643, Can you believe that? This clinic just cares to take your money! They don't care about you,New Hope Fertility Center,believe clinic care take money not care
644, Its cost is cheaper compared to other IVF clinic but it is still not worthy it,New Hope Fertility Center,cost cheap compare ivf clinic still not worthy
645, Save your time and stay away,New Hope Fertility Center,save time stay away
646, Don't believe their good success rate on SART!!! It is tricky! I heard patients like me who never get a chance to transfer an embryos won't be counted as data points for SART,New Hope Fertility Center,not believe good success rate sart !!! tricky hear patient like never get chance transfer embryo not count data point sart
647,So I come for my IUI treatment but it got delayed due to the waiting time,New Hope Fertility Center,come iui treatment get delay due waiting time
648,  And the literature clearly stating that if time is delay and it can negatively impact pregnancy outcome,New Hope Fertility Center,literature clearly state time delay negatively impact pregnancy outcome
649,  I highly not recommend this place,New Hope Fertility Center,highly not recommend place
650,  Not pregnant so far,New Hope Fertility Center,not pregnant far
651,"(I post this on behalf of my friend who wants to remain anonymous) My husband and I planned to have kids right after we got married, but with no success after 3-5 years of trying",New Hope Fertility Center,post behalf friend want remain anonymous husband plan kid right get married no success 3 5 years try
652,  We decided to try reproductive assistance since our insurance also covered this kind of service,New Hope Fertility Center,decide try reproductive assistance since insurance also cover kind service
653,"  We found a famous doctor in NJ, tried rounds of artificial insemination and 3 IVFs in total, all failed",New Hope Fertility Center,found famous doctor nj try round artificial insemination 3 ivfs total fail
654," We had all sorts of tests, results were not bad but not great either",New Hope Fertility Center,sort test result not bad not great either
655,"  We were told the prospect looked dismal, and we should think about donor eggs, surrogacy or adoption",New Hope Fertility Center,tell prospect look dismal think donor eggs surrogacy adoption
656,"  We did try donor eggs, had 20 embryos and transfers, but ended up in miscarriages one after the other",New Hope Fertility Center,try donor eggs 20 embryo transfer end miscarriage one
657,  Along the way 10+ precious years passed,New Hope Fertility Center,along way 10 + precious years pass
658,"At the time of hopelessness, we came across New Hope and Dr Zhang",New Hope Fertility Center,time hopelessness come across new hope dr zhang
659," The first thing Dr Zhang told us was that ""there is no problem with you, tests are all good, all you need to do is to nourish your body and get ready""",New Hope Fertility Center,first thing dr zhang tell us no problem test good need nourish body get ready
660, The analogy he used was that you need to have a fertile ground first before you implant seeds,New Hope Fertility Center,analogy use need fertile ground first implant seed
661,"  ""I'm confident you will get pregnant within 6-12 months""",New Hope Fertility Center,' confident get pregnant within 6 12 month
662,"Oh, boy, didn't we try hard to ""get ready"" - exercises, diets, emotional balance, herb medicine",New Hope Fertility Center,oh boy not try hard get ready exercise diet emotional balance herb medicine
663," After months, we were told we were ready",New Hope Fertility Center,month tell ready
664," After 6 months, we had egg retrieval and 4 frozen embryos",New Hope Fertility Center,6 month egg retrieval 4 freeze embryo
665," I continued physical exercises, jogging, keeping fit and losing weight, for half a year",New Hope Fertility Center,continue physical exercise jogging keeping fit lose weight half year
666,"  When it came to transfer, I insisted on having 2 embryos, though Dr Zhang suggested only 1 since I was 43 at the time and considered a high-risk case",New Hope Fertility Center,come transfer insist 2 embryo though dr zhang suggest 1 since 43 time consider high risk case
667," In the end, lo and behold, I successfully had 2 beautiful babies although the pregnancy process was somewhat eventful with bleeding scares, kidney trouble, and bedridden order",New Hope Fertility Center,end lo behold successfully 2 beautiful baby although pregnancy process somewhat eventful bleeding scare kidney trouble bedridden order
668," Hey, we made it after all these years of pain and desperation, and we are really proud of ourselves and our 2 kids!In a nutshell, we are very grateful to Dr Zhang who made our dream come true, and to his conviction of combining Western technology with Chinese cultivation/nourishment methodology",New Hope Fertility Center,hey make years pain desperation really proud 2 kid nutshell grateful dr zhang make dream come true conviction combining western technology chinese cultivation nourishment methodology
669,I have to update my initial review,New Hope Fertility Center,update initial review
670,I just tried for baby #2 and had a very disappointing experience,New Hope Fertility Center,try baby # 2 disappoint experience
671, I don't know if they've gotten busier or if my pregnancy last time was just a matter of fate,New Hope Fertility Center,not know get busy pregnancy last time matter fate
672, There was a moment that I really needed to see a doc and ofcourse that didn't happen,New Hope Fertility Center,moment really need see doc ofcourse not happen
673, Now that my cycle failed nurses advised that I meet with Dr Zhang for my next steps,New Hope Fertility Center,cycle fail nurse advise meet dr zhang next steps
674, Where was a doc when I needed one? This was my last viable embryo,New Hope Fertility Center,doc need one last viable embryo
675, I wish that I had gotten better care,New Hope Fertility Center,wish get better care
676, I feel like the nurses really handled my care this time without consulting with doctors,New Hope Fertility Center,feel like nurse really handle care time without consult doctor
677,Great facility and I have had a good experience with the staff and care in my IVF journey,New Hope Fertility Center,great facility good experience staff care ivf journey
678,   I am still in the process of undergoing procedures but I am hopeful,New Hope Fertility Center,still process undergo procedure hopeful
679,One setback is the anesthesia,New Hope Fertility Center,one setback anesthesia
680,  The facility lets patients go home after one hour after IVF sedation,New Hope Fertility Center,facility let patient go home one hour ivf sedation
681,  We do sign a waiver at the end of the procedure stating we are going home alone,New Hope Fertility Center,sign waiver end procedure state going home alone
682,"  I do understand that many patients do not have someone to take them home, especially since the procedures are scheduled during the day",New Hope Fertility Center,understand many patient not someone take home especially since procedure schedule day
683,  But something needs to change as its dangerous and suboptimal in delivery of care,New Hope Fertility Center,something need change dangerous suboptimal delivery care
684,  Maybe provide a chaperone?  Or stress the importance of having someone there to take them home after the procedure,New Hope Fertility Center,maybe provide chaperone stress importance someone take home procedure
685,My rating is a zero,New Hope Fertility Center,rating zero
686, The facility is a waste of your time and money,New Hope Fertility Center,facility waste time money
687, The doctor does not follow your case the nurses are the one sending email saying what the doctor is saying,New Hope Fertility Center,doctor not follow case nurse one sending email saying doctor saying
688, I started there a year ago with follicle reaching the size of 15 a year later they couldn't detect not one,New Hope Fertility Center,start year ago follicle reaching size 15 year later could not detect not one
689, I feel they don't know what they are doing,New Hope Fertility Center,feel not know
690, You are just a number your care is not customize for you,New Hope Fertility Center,number care not customize
691, I was left on the exam table waiting for a doctor to explain to me why a year later i have no follicles,New Hope Fertility Center,left exam table waiting doctor explain year later no follicle
692, I was left unattended in the exam table,New Hope Fertility Center,left unattended exam table
693, The physician never came when i had an appointment to see her,New Hope Fertility Center,physician never come appointment see
694, After 30 minutes i decided to leave because i realized i was forgotten,New Hope Fertility Center,30 minutes decide leave realize forget
695, Hours past no one called me to see if i went to restroom or to see even if I left,New Hope Fertility Center,hours past no one call see go restroom see even left
696," "" False hope facility"" seem it will string you along if i didn't come to my senses",New Hope Fertility Center,false hope facility seem string along not come sense
697, In an entire year i saw the doctor 4 times,New Hope Fertility Center,entire year saw doctor 4 times
698,Great overall fertility center! Huge staff thats always willing to help,New Hope Fertility Center,great overall fertility center huge staff thats always willing help
699, The sonogrophers and nurses are particularly knowledgeable which was great when coming for ultrasounds in the morning,New Hope Fertility Center,sonogrophers nurse particularly knowledgeable great coming ultrasound morning
700, I ended up seeing Dr Olcha who was great and held my hand through the whole process!,New Hope Fertility Center,end seeing dr olcha great hold hand whole process
701,NHFC approach is that they could care less,New Hope Fertility Center,nhfc approach could care le
702, I am persistently calling to speak with someone about my embryos and I have been calling for days,New Hope Fertility Center,persistently calling speak someone embryo calling days
703,  Not a single person has called back,New Hope Fertility Center,not single person call back
704, In spite of repeated calls and pleading that someone call me back about some time sensitive issues and questions its been silence from NHFC,New Hope Fertility Center,spite repeat call pleading someone call back time sensitive issue question silence nhfc
705," This is a place where you need to advocate for yourself and hope, as that's the best you will get",New Hope Fertility Center,place need advocate hope best get
706, The Billing department are vigilant in chasing you for your invoices I only wish the doctor would be as well,New Hope Fertility Center,billing department vigilant chase invoice wish doctor would well
707,Fed up with this place,New Hope Fertility Center,fed place
708,No one calls you back no matter WHERE you are in your journey/treatment,New Hope Fertility Center,no one call back no matter journey treatment
709, I haven't gotten calls from everyone from the doctor to the people who process insurance to billing,New Hope Fertility Center,not get call everyone doctor people process insurance billing
710," No one does what they say they are going to do (ie call you back, process insurance, call the pharmacy)The doctor is there SOMETIMES",New Hope Fertility Center,no one say going ie call back process insurance call pharmacy doctor sometimes
711,Find ANY place else,New Hope Fertility Center,find place else
712,I AM STILL waiting to get called back and I need my next round of meds desperately,New Hope Fertility Center,still waiting get call back need next round med desperately
713," This process is all about timing and they make an already trying process needlessly more excruciating, frustrating, and expensive",New Hope Fertility Center,process timing make already try process needlessly excruciate frustrate expensive
714,You feel like an assembly line and the waiting room is like being at the DMV literally waiting for your name and number to be called,New Hope Fertility Center,feel like assembly line waiting room like dmv literally waiting name number call
715,"Most disappointing of all, is they sell you on ""Hope"" when realistically the stats and numbers they come to slowly reveal are a little less hopeful and more realistic",New Hope Fertility Center,disappoint sell hope realistically stats numbers come slowly reveal little le hopeful realistic
716,Dr Merhi was lovely,New Hope Fertility Center,dr merhi lovely
717," He was very straightforward, and gave practical advice for our situation, which we followed and had a successful natural IUI at our first try!",New Hope Fertility Center,straightforward give practical advice situation follow successful natural iui first try
718,Hello again,New Hope Fertility Center,hello
719,  We just finished our 4th cycle,New Hope Fertility Center,finish 4th cycle
720,  We took a break to mentally prepare ourselves,New Hope Fertility Center,take break mentally prepare
721,  In our  4th cycle experience we had to restart our cycle 2 times,New Hope Fertility Center,4th cycle experience restart cycle 2 times
722, Let me explain,New Hope Fertility Center,let explain
723, We knew we want one doctor to follow our case,New Hope Fertility Center,know want one doctor follow case
724,  We requested the same doctor after every monitoring,New Hope Fertility Center,request doctor every monitoring
725,  So we got our instructions for after the first monitoring - expected instructions,New Hope Fertility Center,get instructions first monitoring expect instructions
726, We were then ask to take clomid,New Hope Fertility Center,ask take clomid
727,  After the following monitoring we were told the follicles were gone,New Hope Fertility Center,following monitoring tell follicle go
728,  We could not get our doctor to speak to us,New Hope Fertility Center,could not get doctor speak us
729,  We were told from that monitor to continue to take  birth control pills via email instructions,New Hope Fertility Center,tell monitor continue take birth control pill via email instructions
730, Where is my doctor?Part two of 4th cycle,New Hope Fertility Center,doctor part two 4th cycle
731, We took the birth control pills,New Hope Fertility Center,take birth control pill
732,  Follicle recruitment as expected,New Hope Fertility Center,follicle recruitment expect
733,  We asked for our doctor to follow up,New Hope Fertility Center,ask doctor follow
