,PrevClinName1,ClinCityCode,Year,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,TotCycles,TotFrozTrans,AvgCancel,AvgFreshBR,AvgFrozenBR,AvgNumFrshEmbry,AvgNumThwEmbry
560,JOHNS HOPKINS FERTILITY CENTER,LUTHERVILLE,2001.0,83.0,48,88,58,14.5,14.6,10.2,3.4,6.0,4.2,21.6,20.7,18.4,21.7,10.0,42.857142857142854,38.0,23,10,7,31.0,5.0,20.0,15.0,0.0,15.0,10.0,2.7,2.8,3.0,3.5,0.0,0.0,0.0,0.0,277.0,78.0,13.125,10.674999999999999,23.239285714285714,3.0,0.0
561,CENTER FOR REPRODUCTIVE MEDICINE,ROCKVILLE,2001.0,15.0,2,4,3,33.333333333333336,0.0,50.0,33.333333333333336,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,26.0,0.0,0.0,7.0,0.0,30.0,4.0,2.4,3.0,2.0,4.0,0.0,0.0,0.0,0.0,24.0,2.0,12.5,29.16666666666667,0.0,2.85,0.0
562,SHADY GROVE FERTILITY REPRODUCTIVE SCIENCE CENTER,ROCKVILLE,2001.0,788.0,373,350,122,40.0,36.2,18.0,12.3,15.5,18.2,24.3,28.7,31.2,38.9,22.22222222222222,28.571428571428573,77.0,36,18,7,23.0,8.0,10.0,11.0,1.0,24.0,3.0,2.3,2.5,2.9,3.3,0.0,0.0,0.0,0.0,1633.0,138.0,21.675,26.625,30.223412698412698,2.75,0.0
563,FERTILITY CENTER OF MARYLAND,TOWSON,2001.0,141.0,61,78,32,38.3,31.1,21.8,9.4,8.5,14.8,37.2,40.6,41.0,11.11111111111111,30.4,0.0,39.0,18,23,6,17.0,3.0,2.0,6.0,1.0,8.0,15.0,2.2,2.8,3.3,3.9,0.0,0.0,0.0,0.0,312.0,86.0,25.275,25.150000000000002,20.62777777777778,3.0500000000000003,0.0
564,BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,2001.0,533.0,368,292,170,41.8,34.5,25.0,14.1,3.8,7.3,10.6,6.5,28.0,31.4,18.181818181818183,40.0,82.0,35,11,5,13.0,4.0,1.0,10.0,1.0,22.0,13.0,2.7,3.8,4.4,4.8,0.0,0.0,0.0,0.0,1363.0,133.0,7.05,28.849999999999998,29.395454545454545,3.925,0.0
565,MASSACHUSETTS GENERAL HOSPITAL VINCENT IVF UNIT,BOSTON,2001.0,123.0,85,60,17,49.6,34.1,25.0,5.882352941176471,4.1,7.1,13.3,23.529411764705884,16.666666666666668,0.0,0.0,0.0,6.0,0,3,0,17.0,5.0,6.0,9.0,2.0,25.0,4.0,2.4,2.8,3.3,3.2,0.0,0.0,0.0,0.0,285.0,9.0,12.007352941176471,28.64558823529412,4.166666666666667,2.925,0.0
566,NEW ENGLAND FERTILITY AND ENDOCRINOLOGY ASSOCIATES,BOSTON,2001.0,4.0,1,0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.25,0.0,0.75,0.0
567,"FERTILITY CENTER OF NEW ENGLAND, INC.",READING,2001.0,239.0,161,140,62,31.8,26.7,15.7,4.8,2.9,7.5,5.7,8.1,21.3,24.2,15.789473684210526,0.0,47.0,33,19,10,13.0,8.0,6.0,7.0,3.0,20.0,6.0,2.7,3.1,3.2,3.2,0.0,0.0,0.0,0.0,602.0,109.0,6.050000000000001,19.75,15.322368421052632,3.05,0.0
568,BAYSTATE IVF,SPRINGFIELD,2001.0,143.0,74,62,31,32.2,21.6,24.2,9.7,6.3,13.5,24.2,16.1,27.7,28.0,0.0,25.0,47.0,25,8,4,18.0,6.0,3.0,10.0,2.0,19.0,2.0,2.4,2.8,3.2,3.7,0.0,0.0,0.0,0.0,310.0,84.0,15.025,21.925,20.175,3.0249999999999995,0.0
569,BOSTON IVF,WALTHAM,2001.0,1015.0,611,585,361,32.5,29.5,20.7,10.2,7.6,12.9,14.5,22.7,19.5,24.3,21.4,23.076923076923077,159.0,74,56,13,13.0,1.0,0.0,6.0,2.0,18.0,29.0,2.4,2.8,3.2,3.4,0.0,0.0,0.0,0.0,2572.0,302.0,14.425,23.225,22.069230769230767,2.9499999999999997,0.0
570,REPRODUCTIVE SCIENCE CENTER OF BOSTON,WALTHAM,2001.0,649.0,378,355,166,43.3,36.0,23.4,13.3,4.8,9.8,7.9,18.7,24.2,25.0,7.4,30.0,95.0,28,27,10,6.0,2.0,3.0,2.0,1.0,10.0,8.0,2.1,2.6,2.7,3.2,0.0,0.0,0.0,0.0,1548.0,160.0,10.3,28.999999999999996,21.65,2.6500000000000004,0.0
571,UNIVERSITY OF MICHIGAN,ANN ARBOR,2001.0,38.0,19,20,1,7.9,10.526315789473685,15.0,0.0,31.6,52.63157894736842,50.0,0.0,9.1,0.0,0.0,0.0,22.0,5,4,0,29.0,0.0,0.0,4.0,0.0,37.0,0.0,2.9,3.6,2.9,3.0,0.0,0.0,0.0,0.0,78.0,31.0,33.5578947368421,8.35657894736842,2.275,3.1,0.0
572,"CENTER FOR REPRODUCTIVE MEDICINE AND SURGERY, P.C.",BIRMINGHAM,2001.0,48.0,20,12,6,35.4,15.0,16.666666666666668,16.666666666666668,14.6,10.0,25.0,16.666666666666668,66.66666666666667,0.0,0.0,0.0,3.0,2,1,0,6.0,4.0,7.0,6.0,1.0,10.0,0.0,2.8,3.1,2.4,2.4,0.0,0.0,0.0,0.0,86.0,6.0,16.566666666666666,20.933333333333334,16.666666666666668,2.6750000000000003,0.0
573,CENTER FOR REPRODUCTIVE MEDICINE,DEARBORN,2001.0,144.0,56,37,26,23.6,12.5,2.7,7.7,20.8,35.7,29.7,34.6,30.0,0.0,33.333333333333336,0.0,20.0,5,6,0,14.0,6.0,5.0,10.0,1.0,12.0,1.0,3.0,3.7,2.9,4.3,0.0,0.0,0.0,0.0,263.0,31.0,30.200000000000003,11.625000000000002,15.833333333333334,3.4749999999999996,0.0
574,"GRAND RAPIDS FERTILITY & IVF, P.C.",GRAND RAPIDS,2001.0,77.0,24,14,2,26.0,8.3,28.571428571428573,50.0,9.1,20.8,7.142857142857143,0.0,33.3,0.0,0.0,100.0,21.0,2,8,1,14.0,3.0,16.0,2.0,0.0,27.0,2.0,4.0,4.3,4.2,5.0,0.0,0.0,0.0,0.0,117.0,32.0,9.260714285714286,28.21785714285714,33.325,4.375,0.0
575,"MICHIGAN REPRODUCTIVE & IVF CENTER, P.C.",GRAND RAPIDS,2001.0,271.0,74,72,21,43.9,31.1,22.2,14.3,10.3,9.5,9.7,19.0,28.9,31.8,18.181818181818183,0.0,90.0,22,11,2,15.0,2.0,4.0,6.0,1.0,31.0,4.0,2.8,3.2,3.6,3.5,0.0,0.0,0.0,0.0,438.0,125.0,12.125,27.875,19.720454545454547,3.275,0.0
576,"INFERTILITY AND GYNECOLOGY CENTER OF LANSING, P.C.",LANSING,2001.0,65.0,15,9,4,36.9,40.0,11.11111111111111,0.0,16.9,20.0,22.22222222222222,50.0,0.0,0.0,0.0,0.0,3.0,0,1,1,15.0,1.0,3.0,11.0,0.0,7.0,1.0,3.4,3.3,3.4,4.0,0.0,0.0,0.0,0.0,93.0,5.0,27.280555555555555,22.00277777777778,0.0,3.525,0.0
577,MICHIGAN STATE UNIVERSITY,LANSING,2001.0,7.0,4,6,2,42.857142857142854,0.0,16.666666666666668,0.0,14.285714285714286,50.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,28.0,0.0,0.0,0.0,0.0,24.0,5.0,3.2,2.0,4.3,2.0,0.0,0.0,0.0,0.0,19.0,1.0,24.404761904761905,14.88095238095238,0.0,2.875,0.0
578,THE CENTER FOR REPRODUCTIVE MEDICINE,ROCHESTER HILLS,2001.0,29.0,17,9,4,34.5,5.882352941176471,22.22222222222222,0.0,10.3,11.764705882352942,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0,0,0,16.0,2.0,0.0,6.0,1.0,26.0,1.0,4.4,4.6,4.6,5.7,0.0,0.0,0.0,0.0,59.0,1.0,11.766176470588235,15.651143790849673,0.0,4.825,0.0
579,IVF MICHIGAN,ROCHESTER HILLS,2001.0,340.0,156,139,58,47.4,30.8,13.7,10.3,6.5,8.3,15.1,12.1,33.3,28.0,25.0,16.666666666666668,66.0,25,24,6,8.0,6.0,21.0,7.0,1.0,19.0,3.0,3.6,3.7,3.8,3.4,0.0,0.0,0.0,0.0,693.0,121.0,10.5,25.55,25.741666666666667,3.6250000000000004,0.0
580,WILLIAM BEAUMONT FERTILITY CENTER,ROYAL OAK,2001.0,116.0,71,62,18,34.5,15.5,17.7,0.0,6.9,15.5,22.6,5.555555555555555,16.666666666666668,33.333333333333336,0.0,0.0,6.0,3,7,0,9.0,2.0,6.0,8.0,1.0,22.0,4.0,2.9,3.2,3.1,3.9,0.0,0.0,0.0,0.0,267.0,16.0,12.63888888888889,16.925,12.5,3.275,0.0
581,UNIVERSITY WOMEN'S CARE,SOUTHFIELD,2001.0,112.0,20,35,10,17.0,25.0,8.6,0.0,17.0,30.0,34.3,60.0,25.0,0.0,0.0,0.0,4.0,1,4,0,13.0,3.0,13.0,7.0,0.0,22.0,12.0,3.1,3.7,3.6,3.8,0.0,0.0,0.0,0.0,177.0,9.0,35.325,12.65,6.25,3.55,0.0
582,HENRY FORD REPRODUCTIVE MEDICINE,TROY,2001.0,39.0,15,15,8,25.6,20.0,20.0,12.5,30.8,33.333333333333336,46.666666666666664,37.5,22.22222222222222,0.0,0.0,0.0,9.0,0,0,0,24.0,5.0,0.0,1.0,2.0,19.0,24.0,2.5,2.9,3.1,3.0,0.0,0.0,0.0,0.0,77.0,9.0,37.075,19.525,5.555555555555555,2.875,0.0
583,CENTER FOR REPRODUCTIVE MEDICINE,MINNEAPOLIS,2001.0,219.0,106,129,35,37.4,30.2,23.3,14.3,13.7,14.2,17.1,11.4,31.5,26.1,26.666666666666668,33.333333333333336,54.0,23,15,6,14.0,4.0,19.0,6.0,2.0,19.0,0.0,2.1,2.7,3.0,3.1,0.0,0.0,0.0,0.0,489.0,98.0,14.1,26.299999999999997,29.4,2.725,0.0
584,"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, P.A.",MINNEAPOLIS,2001.0,130.0,60,43,9,47.7,33.3,27.9,11.11111111111111,4.6,16.7,14.0,11.11111111111111,38.9,28.6,23.529411764705884,50.0,54.0,21,17,4,24.0,7.0,3.0,6.0,3.0,24.0,3.0,2.4,2.5,2.5,2.5,0.0,0.0,0.0,0.0,242.0,96.0,11.602777777777778,30.00277777777778,35.25735294117647,2.475,0.0
585,REPRODUCTIVE MEDICINE CENTER,MINNEAPOLIS,2001.0,115.0,42,34,6,44.3,23.8,14.7,16.666666666666668,7.8,9.5,17.6,16.666666666666668,31.25,14.285714285714286,0.0,0.0,16.0,7,5,1,10.0,7.0,3.0,5.0,1.0,34.0,27.0,2.3,2.5,2.8,2.6,0.0,0.0,0.0,0.0,197.0,29.0,12.89166666666667,24.866666666666667,11.383928571428571,2.55,0.0
586,MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,ROCHESTER,2001.0,152.0,47,47,16,33.6,31.9,27.7,25.0,8.6,19.1,19.1,37.5,42.2,31.3,25.9,0.0,116.0,32,27,1,14.0,3.0,4.0,8.0,1.0,33.0,5.0,2.2,2.8,3.4,3.1,0.0,0.0,0.0,0.0,262.0,176.0,21.075000000000003,29.55,24.85,2.875,0.0
587,REPRODUCTIVE MEDICINE & INFERTILITY ASSOCIATES,WOODBURY,2001.0,171.0,58,65,18,42.7,27.6,30.8,0.0,4.1,8.6,4.6,22.22222222222222,13.8,27.77777777777778,4.5,25.0,58.0,18,22,4,11.0,5.0,2.0,11.0,1.0,34.0,4.0,2.6,2.8,3.2,3.3,0.0,0.0,0.0,0.0,312.0,102.0,9.880555555555555,25.275000000000002,17.769444444444446,2.9750000000000005,0.0
588,MISSISSIPPI FERTILITY INSTITUTE AT WOMEN'S SPECIALTY CENTER,JACKSON,2001.0,55.0,13,7,5,25.5,38.46153846153846,28.571428571428573,0.0,18.2,30.76923076923077,14.285714285714286,20.0,16.666666666666668,33.333333333333336,0.0,0.0,6.0,3,1,0,20.0,4.0,11.0,18.0,0.0,9.0,4.0,2.7,3.2,2.8,3.7,0.0,0.0,0.0,0.0,80.0,10.0,20.813736263736264,23.13324175824176,12.5,3.0999999999999996,0.0
589,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,2001.0,43.0,12,13,1,37.2,8.333333333333334,7.6923076923076925,0.0,7.0,25.0,23.076923076923077,0.0,7.6923076923076925,0.0,0.0,0.0,13.0,1,1,0,22.0,0.0,5.0,13.0,0.0,11.0,0.0,2.9,2.9,3.4,3.0,0.0,0.0,0.0,0.0,69.0,15.0,13.76923076923077,13.306410256410258,1.9230769230769231,3.05,0.0
590,ADVANCED REPRODUCTIVE SPECIALISTS,CHESTERFIELD,2001.0,34.0,13,9,6,17.6,30.76923076923077,0.0,0.0,0.0,15.384615384615385,33.333333333333336,0.0,50.0,100.0,0.0,0.0,2.0,1,0,0,28.0,18.0,0.0,8.0,0.0,0.0,0.0,3.8,4.4,4.4,5.0,0.0,0.0,0.0,0.0,62.0,3.0,12.17948717948718,12.092307692307692,37.5,4.4,0.0
591,INFERTILITY INSTITUTE,CHESTERFIELD,2001.0,78.0,32,31,6,47.4,37.5,25.8,33.333333333333336,2.6,12.5,3.2,0.0,0.0,100.0,0.0,0.0,1.0,1,0,0,3.0,7.0,4.0,2.0,0.0,2.0,1.0,3.2,3.3,4.0,3.8,0.0,0.0,0.0,0.0,147.0,2.0,4.575,36.00833333333333,25.0,3.575,0.0
592,MID-MISSOURI CENTER FOR REPRODUCTIVE HEALTH,COLUMBIA,2001.0,56.0,18,12,2,23.2,16.666666666666668,0.0,0.0,7.1,16.666666666666668,58.333333333333336,0.0,0.0,0.0,50.0,0.0,2.0,1,2,0,14.0,0.0,0.0,5.0,0.0,9.0,2.0,3.4,3.7,4.4,3.0,0.0,0.0,0.0,0.0,88.0,5.0,20.525,9.966666666666667,12.5,3.625,0.0
593,UNIVERSITY OF MISSOURI HOSPITAL AND CLINICS,COLUMBIA,2001.0,21.0,9,2,0,14.3,22.22222222222222,50.0,0.0,0.0,11.11111111111111,50.0,0.0,0.0,0.0,0.0,0.0,7.0,2,0,0,23.0,17.0,6.0,6.0,0.0,13.0,0.0,2.7,2.6,2.0,0.0,0.0,0.0,0.0,0.0,32.0,9.0,15.277777777777779,21.630555555555556,0.0,1.8250000000000002,0.0
594,MIDWEST WOMEN'S HEALTHCARE,KANSAS CITY,2001.0,34.0,30,18,1,23.5,33.3,38.888888888888886,0.0,20.6,26.7,27.77777777777778,0.0,25.0,0.0,0.0,0.0,4.0,3,0,0,13.0,16.0,0.0,22.0,0.0,13.0,2.0,2.1,2.3,2.2,3.0,0.0,0.0,0.0,0.0,83.0,7.0,18.769444444444446,23.92222222222222,6.25,2.4000000000000004,0.0
595,INFERTILITY & IVF CENTER,ST. LOUIS,2001.0,68.0,23,12,1,41.2,26.1,50.0,0.0,16.2,26.1,16.666666666666668,0.0,16.666666666666668,25.0,0.0,0.0,12.0,4,0,2,9.0,1.0,26.0,2.0,1.0,20.0,4.0,2.6,2.4,3.3,6.0,0.0,0.0,0.0,0.0,104.0,18.0,14.741666666666667,29.325000000000003,10.416666666666668,3.575,0.0
596,THE INFERTILITY AND REPRODUCTIVE MEDICINE CENTER,ST. LOUIS,2001.0,217.0,99,75,35,38.2,35.4,22.7,8.6,17.5,14.1,20.0,22.9,5.0,0.0,20.0,0.0,20.0,4,10,0,18.0,9.0,1.0,12.0,1.0,19.0,7.0,2.4,2.7,3.0,3.5,0.0,0.0,0.0,0.0,426.0,34.0,18.625,26.224999999999998,6.25,2.9,0.0
597,INFERTILITY CENTER OF ST. LOUIS,ST. LOUIS,2001.0,88.0,27,29,9,37.5,25.9,13.8,22.22222222222222,0.0,7.4,3.4,0.0,23.076923076923077,0.0,0.0,100.0,13.0,4,3,1,9.0,1.0,12.0,1.0,2.0,55.0,2.0,3.2,3.3,3.4,4.3,0.0,0.0,0.0,0.0,153.0,21.0,2.7,24.855555555555554,30.76923076923077,3.55,0.0
598,"HEARTLAND CENTER FOR REPRODUCTIVE MEDICINE, P.C.",OMAHA,2001.0,134.0,46,33,7,24.6,32.6,18.2,0.0,3.7,4.3,12.1,0.0,10.5,0.0,25.0,0.0,38.0,10,8,1,10.0,6.0,5.0,5.0,1.0,18.0,1.0,3.2,3.3,3.0,3.3,0.0,0.0,0.0,0.0,220.0,57.0,5.025,18.85,8.875,3.2,0.0
599,NEBRASKA METHODIST HOSPITAL REI,OMAHA,2001.0,213.0,74,61,8,32.9,13.5,18.0,0.0,6.6,20.3,26.2,12.5,19.4,7.142857142857143,0.0,0.0,36.0,14,2,0,18.0,5.0,10.0,16.0,1.0,21.0,2.0,3.3,3.5,3.8,3.3,0.0,0.0,0.0,0.0,356.0,52.0,16.4,16.1,6.635714285714285,3.4749999999999996,0.0
600,FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,2001.0,116.0,44,33,15,23.3,20.5,15.2,0.0,6.0,6.8,6.1,33.333333333333336,0.0,0.0,0.0,0.0,1.0,0,0,0,29.0,1.0,3.0,3.0,0.0,17.0,20.0,2.2,2.3,2.3,1.8,0.0,0.0,0.0,0.0,208.0,1.0,13.058333333333334,14.75,0.0,2.15,0.0
601,THE NEVADA CENTER FOR REPRODUCTIVE MEDICINE,RENO,2001.0,61.0,26,30,14,37.7,46.2,13.3,14.285714285714286,3.3,7.7,20.0,7.142857142857143,37.5,33.333333333333336,0.0,0.0,32.0,15,3,1,15.0,6.0,28.0,2.0,4.0,8.0,3.0,3.1,3.9,3.7,4.8,0.0,0.0,0.0,0.0,131.0,51.0,9.535714285714286,27.871428571428574,17.708333333333336,3.875,0.0
602,DARTMOUTH--HITCHCOCK MEDICAL CENTER,LEBANON,2001.0,42.0,20,24,6,21.4,15.0,12.5,0.0,11.9,10.0,0.0,0.0,30.4,37.5,11.11111111111111,0.0,23.0,8,9,1,30.0,6.0,4.0,6.0,1.0,18.0,0.0,2.3,3.0,3.4,4.0,0.0,0.0,0.0,0.0,92.0,41.0,5.475,12.225,19.75277777777778,3.175,0.0
603,THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY,BEDMINSTER,2001.0,94.0,65,52,24,44.7,27.7,25.0,4.2,16.0,15.4,17.3,16.7,0.0,0.0,0.0,0.0,0.0,0,0,0,11.0,4.0,15.0,6.0,0.0,14.0,6.0,3.5,3.5,3.4,3.5,0.0,0.0,0.0,0.0,235.0,0.0,16.35,25.400000000000002,0.0,3.475,0.0
604,SHORE IVF AND REPRODUCTIVE MEDICINE,BRICK,2001.0,27.0,18,14,7,33.3,22.22222222222222,42.857142857142854,0.0,7.4,11.11111111111111,14.285714285714286,28.571428571428573,42.857142857142854,0.0,0.0,0.0,7.0,2,2,1,24.0,5.0,9.0,1.0,0.0,17.0,1.0,2.8,3.6,3.8,3.0,0.0,0.0,0.0,0.0,66.0,12.0,15.342063492063492,24.594841269841268,10.714285714285714,3.3,0.0
605,"REPRODUCTIVE GYNECOLOGISTS, P.C.",CHERRY HILL,2001.0,19.0,10,11,3,10.526315789473685,0.0,9.090909090909092,33.333333333333336,5.2631578947368425,30.0,18.181818181818183,33.333333333333336,33.333333333333336,0.0,0.0,0.0,3.0,4,0,0,39.0,4.0,5.0,4.0,0.0,5.0,0.0,2.9,2.8,2.6,4.5,0.0,0.0,0.0,0.0,43.0,7.0,21.694577352472088,13.237639553429029,8.333333333333334,3.1999999999999997,0.0
606,"IVF OF NORTH JERSEY, P.A.",CLIFTON,2001.0,56.0,29,32,18,44.6,37.9,6.3,0.0,8.9,13.8,18.8,22.22222222222222,0.0,0.0,0.0,0.0,1.0,0,2,0,15.0,1.0,31.0,7.0,5.0,7.0,14.0,3.2,2.8,3.2,3.1,0.0,0.0,0.0,0.0,135.0,3.0,15.930555555555555,22.2,0.0,3.0749999999999997,0.0
607,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE AND FERTILITY,EDISON,2001.0,67.0,20,13,5,38.8,35.0,38.46153846153846,0.0,6.0,5.0,7.6923076923076925,40.0,28.571428571428573,20.0,0.0,0.0,7.0,5,0,0,9.0,6.0,22.0,4.0,0.0,25.0,0.0,2.7,3.5,3.1,3.0,0.0,0.0,0.0,0.0,105.0,12.0,14.673076923076923,28.065384615384616,12.142857142857142,3.075,0.0
608,WOMEN'S FERTILITY CENTER,ENGLEWOOD,2001.0,15.0,7,13,4,6.666666666666667,28.571428571428573,15.384615384615385,25.0,13.333333333333334,14.285714285714286,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,23.0,5.0,11.0,0.0,0.0,23.0,0.0,2.8,2.2,1.8,2.3,0.0,0.0,0.0,0.0,39.0,5.0,8.827838827838828,18.905677655677657,0.0,2.275,0.0
609,NORTH HUDSON I.V.F.,ENGLEWOOD CLIFFS,2001.0,25.0,12,7,5,40.0,8.333333333333334,42.857142857142854,40.0,20.0,8.333333333333334,28.571428571428573,0.0,75.0,0.0,100.0,0.0,4.0,0,1,0,17.0,11.0,23.0,2.0,1.0,12.0,1.0,2.6,2.8,2.3,3.8,0.0,0.0,0.0,0.0,49.0,5.0,14.226190476190478,32.79761904761905,43.75,2.875,0.0
610,DELAWARE VALLEY OB/GYN AND INFERTILITY GROUP,LAWRENCEVILLE,2001.0,24.0,13,19,6,25.0,23.076923076923077,26.31578947368421,16.666666666666668,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2,0,0,20.0,8.0,3.0,15.0,1.0,14.0,0.0,3.3,4.0,3.8,4.5,0.0,0.0,0.0,0.0,62.0,2.0,0.0,22.76484480431849,25.0,3.9,0.0
611,PRINCETON CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE,LAWRENCEVILLE,2001.0,30.0,16,14,8,30.0,25.0,21.428571428571427,0.0,6.7,12.5,21.428571428571427,12.5,33.3,33.333333333333336,0.0,0.0,24.0,6,2,3,22.0,8.0,15.0,1.0,0.0,24.0,5.0,3.1,3.5,3.2,3.4,0.0,0.0,0.0,0.0,68.0,35.0,13.282142857142857,19.107142857142858,16.65833333333333,3.3000000000000003,0.0
612,"EAST COAST INFERTILITY AND IVF, P.C.",LITTLE SILVER,2001.0,79.0,36,44,24,43.0,25.0,11.4,12.5,12.7,13.9,36.4,25.0,0.0,40.0,50.0,0.0,7.0,5,4,0,7.0,0.0,3.0,4.0,0.0,19.0,1.0,3.3,3.7,3.5,3.4,0.0,0.0,0.0,0.0,183.0,16.0,22.0,22.975,22.5,3.475,0.0
613,INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,LIVINGSTON,2001.0,264.0,234,247,97,43.2,32.5,22.7,8.2,6.8,10.7,15.0,22.7,35.8,53.8,38.7,28.571428571428573,67.0,26,31,7,5.0,17.0,10.0,3.0,1.0,13.0,6.0,2.5,2.7,2.9,3.4,0.0,0.0,0.0,0.0,842.0,131.0,13.8,26.650000000000002,39.21785714285715,2.875,0.0
614,"COOPER CENTER FOR IN VITRO FERTILIZATION, P.C.",MARLTON,2001.0,254.0,197,162,158,30.7,12.7,13.6,7.0,10.2,17.8,18.5,24.7,37.9,38.4,28.6,19.4,140.0,73,56,31,12.0,4.0,2.0,2.0,1.0,14.0,15.0,2.9,2.8,3.0,2.8,0.0,0.0,0.0,0.0,771.0,300.0,17.8,16.0,31.075000000000003,2.875,0.0
615,DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,MARLTON,2001.0,29.0,14,13,3,37.9,28.571428571428573,38.46153846153846,0.0,6.9,7.142857142857143,15.384615384615385,66.66666666666667,53.84615384615385,0.0,50.0,0.0,13.0,0,2,0,19.0,6.0,1.0,3.0,0.0,13.0,4.0,3.3,3.1,3.6,5.0,0.0,0.0,0.0,0.0,59.0,15.0,24.0235347985348,26.23324175824176,25.96153846153846,3.75,0.0
616,"SOUTH JERSEY FERTILITY CENTER, P.A.",MARLTON,2001.0,78.0,38,38,14,33.3,28.9,21.1,0.0,1.3,10.5,18.4,21.428571428571427,23.1,50.0,25.0,0.0,39.0,6,4,2,22.0,5.0,1.0,8.0,0.0,29.0,1.0,2.6,2.8,3.1,3.5,0.0,0.0,0.0,0.0,168.0,51.0,12.907142857142857,20.825,24.525,3.0,0.0
617,DIAMOND INSTITUTE FOR INFERTILITY,MILLBURN,2001.0,105.0,74,63,36,28.6,18.9,20.6,13.9,13.3,24.3,23.8,25.0,18.75,20.0,0.0,0.0,16.0,10,3,2,27.0,2.0,17.0,6.0,1.0,17.0,1.0,3.6,3.9,3.4,3.6,0.0,0.0,0.0,0.0,278.0,31.0,21.6,20.5,9.6875,3.625,0.0
618,REPRODUCTIVE MEDICINE ASSOCIATES OF NEW JERSEY,MORRISTOWN,2001.0,597.0,312,344,163,49.1,44.2,27.3,17.2,9.0,18.3,19.2,25.2,46.0,42.9,32.0,11.11111111111111,63.0,28,25,9,8.0,13.0,10.0,5.0,2.0,12.0,7.0,2.7,3.1,3.2,3.4,0.0,0.0,0.0,0.0,1416.0,125.0,17.925,34.45,33.00277777777778,3.1,0.0
619,ROBERT WOOD JOHNSON MEDICAL SCHOOL IVF PROGRAM,NEW BRUNSWICK,2001.0,151.0,79,74,23,28.5,15.2,16.2,17.4,13.9,22.8,28.4,30.4,25.7,16.666666666666668,0.0,0.0,35.0,12,10,4,11.0,5.0,10.0,9.0,10.0,22.0,6.0,2.3,2.4,2.8,3.4,0.0,0.0,0.0,0.0,327.0,61.0,23.875,19.325000000000003,10.591666666666667,2.7249999999999996,0.0
620,IVF NEW JERSEY,SOMERSET,2001.0,117.0,55,44,18,56.4,36.4,25.0,11.11111111111111,11.1,16.4,15.9,22.22222222222222,33.333333333333336,100.0,33.333333333333336,100.0,3.0,1,3,1,7.0,3.0,15.0,2.0,1.0,11.0,6.0,2.2,2.3,2.8,3.2,0.0,0.0,0.0,0.0,234.0,8.0,16.405555555555555,32.227777777777774,66.66666666666667,2.625,0.0
621,DR. LOUIS R. MANARA,VOORHEES,2001.0,19.0,7,3,3,42.10526315789474,14.285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,21.0,9.0,3.0,9.0,0.0,29.0,0.0,2.6,2.6,2.7,3.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,14.097744360902256,0.0,2.725,0.0
622,FERTILITY INSTITUTE OF NEW JERSEY,WESTWOOD,2001.0,77.0,36,32,6,28.6,33.3,15.6,0.0,0.0,2.8,6.3,16.666666666666668,6.25,0.0,0.0,0.0,16.0,6,2,1,10.0,13.0,6.0,3.0,3.0,13.0,0.0,2.7,2.8,3.0,1.8,0.0,0.0,0.0,0.0,151.0,25.0,6.441666666666666,19.375,1.5625,2.575,0.0
